Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,
B4B4S,Bsw Banes Locality CDC,Foxcote Avenue,Bath Business Park,Peasedown St. John,Bath,,BA2 8SQ,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
K1W4U,Salisbury CDC,Avon Approach,,,Salisbury,,SP1 3SL,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
O0D8X,West Swindon CDC,West Swindon District Centre,,,Swindon,,SN5 7DL,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
O1F4J,Weston CDC,68 Lonsdale Avenue,,,Weston-Super-Mare,,BS23 3SJ,CDC,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",,,
Q9T4V,North Bristol CDC,Highwood Lane,Patchway,,Bristol,,BS34 5TL,CDC,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",,,
D5M4B,Bodmin CDC,Bodmin Hospital,Boundary Road,,Bodmin,,PL31 2QT,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,,,
D8G6B,West Cornwall CDC,St. Clare Street,,,Penzance,,TR18 2PF,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,,,
J3K6R,Camborne and Redruth CDC,5 Foundry Row,,,Redruth,,TR15 1AN,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,,,
D0W4Z,Devon and Torbay CDC,2 Market Street,,,Torquay,Devon,TQ1 3AQ,CDC,QJK,NHS Devon Integrated Care Board,,,
D7D3Y,Devon Exeter Nightingale CDC,Osprey Road,Sowton Industrial Estate,,Exeter,Devon,EX2 7JG,CDC,QJK,NHS Devon Integrated Care Board,,,
N6I0G,Plymouth CDC,Colin Campbell Court,,,Plymouth,Devon,PL1 1TQ,CDC,QJK,NHS Devon Integrated Care Board,,,
E7P1H,Dorset Health Village  Poole CDC,Poole Hospital NHS Trust,Longfleet Road,,Poole,,BH15 2JB,CDC,QVV,NHS Dorset Integrated Care Board,,,
J9W8Y,"Dorset Health Village Boscombe, Aecc CDC",Parkwood Campus,Parkwood Road,,Bournemouth,,BH5 2DF,CDC,QVV,NHS Dorset Integrated Care Board,,,
V1W2D,Dorset Health Village Poole Beales CDC,64-68 Dolphin Centre,,,Poole,,BH15 1SQ,CDC,QVV,NHS Dorset Integrated Care Board,,,
T2F2W,Dorset Health Village South Walks CDC,South Walks House,Charles Street,,Dorchester,Dorset,DT1 1EE,CDC,QVV,NHS Dorset Integrated Care Board,,,
C4Q4G,Dorset Health Village Weymouth CDC,Weymouth Community Hospital,3 Melcombe Avenue,,Weymouth,,DT4 7TB,CDC,QVV,NHS Dorset Integrated Care Board,,,
F7F9Z,Gloucestershire Quayside CDC,Quay Street,,,Gloucester,,GL1 2TZ,CDC,QR1,NHS Gloucestershire Integrated Care Board,,,
C0U5C,Bridgewater CDC,Bower Lane,,,Bridgwater,,TA6 4GU,CDC,QSL,NHS Somerset Integrated Care Board,,,
I1E2U,Taunton Central CDC,1 French Weir Avenue,,,Taunton,,TA1 1NW,CDC,QSL,NHS Somerset Integrated Care Board,,,
I3G3P,West Mendip CDC,Old Wells Road,,,Glastonbury,,BA6 8JD,CDC,QSL,NHS Somerset Integrated Care Board,,,
I8O6Y,South Petherton CDC,Bernard Way,,,South Petherton,,TA13 5EF,CDC,QSL,NHS Somerset Integrated Care Board,,,
M6K9K,Yeovil CDC,10 Ivel Square,,,Yeovil,,BA20 1EY,CDC,QSL,NHS Somerset Integrated Care Board,,,
N9U8C,Somerset East CDC,Higher Kingston,,,Yeovil,,BA21 4AT,CDC,QSL,NHS Somerset Integrated Care Board,,,
R3H5P,Somerset West CDC,Rutherford Diagnostics Centre,Blackbrook Park Avenue,,Taunton,,TA1 2PX,CDC,QSL,NHS Somerset Integrated Care Board,,,
