Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,,,,,,,,,,
J83035,Abbey Meads Medical Practice,Elstree Way,,,Swindon,Wiltshire,SN25 4YZ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83035001,Abbey Meads Medical Practice: Penhill Surgery,257 Penhill Drive,,,Swindon,Wiltshire,SN2 5HN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83036,Ashington House Surgery,Ashington Way,Westlea,,Swindon,Wiltshire,SN5 7XY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83018,Avenue Surgery,14 The Avenue,,,Warminster,Wiltshire,BA12 9AA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83023,Avon Valley Practice,43 Fairfield,Upavon,,Pewsey,Wiltshire,SN9 6DZ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83023001,Avon Valley Practice: Durrington Surgery,77 Bulford Road,Durrington,,Salisbury,Wiltshire,SP4 8EU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83005,Barcroft Medical Centre,Amesbury,,,Salisbury,Wiltshire,SP4 7DL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81027,Batheaston Medical Centre,Coalpit Road,Batheaston,,Bath,Avon,BA1 7NP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
RVN8L,Beversbrook Centre,Unit A1-A2,Redman Road,,Calne,Wiltshire,SN11 9PR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83013,Box Surgery,London Road,Box,,Corsham,Wiltshire,SN13 8NA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83013001,Box Surgery: Firs Surgery,3 Cleaves Avenue,Colerne,,Chippenham,Wiltshire,SN14 8BX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83030003,Bradford-on-Avon and Melksham Health: St Margaret's Surgery,29 Bridge Street,,,Bradford-on-Avon,Wiltshire,BA15 1BY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83030001,Bradford-on-Avon and Melksham Health: Winsley Surgery,73a Tyning Road,Winsley,,Bradford-on-Avon,Wiltshire,BA15 2JW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83601,Burbage Surgery,9 The Sprays,Burbage,,Marlborough,Wiltshire,SN8 3TA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83014,Castle Practice,The Ludgershall Health Centre,Central Street,Ludgershall,Andover,Hampshire,SP11 9RA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83014002,Castle Practice: Tidworth Surgery,Drummer Lane,,,Tidworth,Hampshire,SP9 7FH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81065,Combe Down Surgery,Combe Down House,The Avenue,Combe Down,Bath,Avon,BA2 5EG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81065001,Combe Down Surgery: Sulis Manor Road Surgery,Sulis Meadows,Sulis Manor Road,Odd Down,Bath,Avon,BA2 2AL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83619,Courtyard Surgery,39 High Street,West Lavington,,Devizes,Wiltshire,SN10 4JB,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83609001,Cricklade Surgery: Ashton Keynes Surgery,Village Hall,Ashton Keynes,,Swindon,Wiltshire,SN6 6NT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
D5K3F,Crossroads Surgery,478 Cricklade Road,,,Swindon,Wiltshire,SN2 7BG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83043,Downton Surgery,Moot Lane,Downton,,Salisbury,Wiltshire,SP5 3JP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81059,Elm Hayes Surgery,Clandown Road,Paulton,,Bristol,Avon,BS39 7SF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81071,Fairfield Park Health Centre,Tyning Lane,Camden Road,,Bath,Avon,BA1 6EA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83011,Giffords Primary Care Centre,Spa Road,,,Melksham,Wiltshire,SN12 7EA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
I6I1Q,Great Western Surgery,Farriers Close,,,Swindon,Wiltshire,SN1 2QU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
