Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,
RYFAV,Bath Ambulance Station,Cleveland Bridge,,,Bath,Avon,BA1 5DH,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDH,Chippenham Ambulance Station,Malmesbury Road,,,Chippenham,Wiltshire,SN15 5LN,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDC,Devizes Ambulance Station,Bridewell Street,,,Devizes,Wiltshire,SN10 1NE,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFAY,Keynsham Ambulance Station,Park Road,Keynsham,,Bristol,Avon,BS31 1BS,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDJ,Malmesbury Ambulance Station,Gloucester Road,,,Malmesbury,Wiltshire,SN16 9JS,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFCY,Marlborough Ambulance Station,Elcot Lane,,,Marlborough,Wiltshire,SN8 2BG,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFCD,Paulton Ambulance Station,Salisbury Road,Paulton,,Bristol,Avon,BS39 7SB,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDL,Salisbury Ambulance Station,Odstock Road,,,Salisbury,Wiltshire,SP2 8BG,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDK,Swindon Ambulance Station,Queens Drive,,,Swindon,Wiltshire,SN3 1AR,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDA,Trowbridge Ambulance Station,Hilperton Road,,,Trowbridge,Wiltshire,BA14 7JB,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFDD,Warminster Ambulance Station,20-22 Station Road,,,Warminster,Wiltshire,BA12 9BR,Ambulance station,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,
RYFAT,Almondsbury Ambulance Station,Oaklands Drive,Almondsbury,,Bristol,Avon,BS32 4AB,Ambulance station,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",,,
RYFAX,Churchill Ambulance Station,Ladymead Lane,Churchill,,Winscombe,Avon,BS25 5NH,Ambulance station,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",,,
