Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
B4B4S,Bsw Banes Locality CDC,Foxcote Avenue,Bath Business Park,Peasedown St. John,Bath,,BA2 8SQ,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA28SQ,-2.416516286,51.31132668,E01014444,E02003006,E00072943,E54000040,E06000022
K1W4U,Salisbury CDC,Avon Approach,,,Salisbury,,SP1 3SL,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP13SL,-1.797518341,51.07173662,E01032014,E02006671,E00163295,E54000040,E06000054
O0D8X,West Swindon CDC,West Swindon District Centre,,,Swindon,,SN5 7DL,CDC,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN57DL,-1.829553608,51.55846655,E01015569,E02003233,E00078739,E54000040,E06000030
O1F4J,Weston CDC,68 Lonsdale Avenue,,,Weston-Super-Mare,,BS23 3SJ,CDC,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS233SJ,-2.965114536,51.33129785,E01014833,E02003085,E00074941,E54000039,E06000024
Q9T4V,North Bristol CDC,Highwood Lane,Patchway,,Bristol,,BS34 5TL,CDC,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS345TL,-2.597200034,51.53052613,E01014861,E02003094,E00189488,E54000039,E06000025
D5M4B,Bodmin CDC,Bodmin Hospital,Boundary Road,,Bodmin,,PL31 2QT,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL312QT,-4.74194372,50.46881488,E01018929,E02003942,E00095596,E54000036,E06000052
D8G6B,West Cornwall CDC,St. Clare Street,,,Penzance,,TR18 2PF,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR182PF,-5.54297636,50.12205627,E01018995,E02003949,E00095963,E54000036,E06000052
J3K6R,Camborne and Redruth CDC,5 Foundry Row,,,Redruth,,TR15 1AN,CDC,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR151AN,-5.231826645,50.23501223,E01018911,E02003919,E00095477,E54000036,E06000052
D0W4Z,Devon and Torbay CDC,2 Market Street,,,Torquay,Devon,TQ1 3AQ,CDC,QJK,NHS Devon Integrated Care Board,TQ13AQ,-3.528182433,50.46715037,E01015217,E02003161,E00076894,E54000037,E06000027
D7D3Y,Devon Exeter Nightingale CDC,Osprey Road,Sowton Industrial Estate,,Exeter,Devon,EX2 7JG,CDC,QJK,NHS Devon Integrated Care Board,EX27JG,-3.464572334,50.72465,E01033234,E02004159,E00180226,E54000037,E07000041
N6I0G,Plymouth CDC,Colin Campbell Court,,,Plymouth,Devon,PL1 1TQ,CDC,QJK,NHS Devon Integrated Care Board,PL11TQ,-4.147949468,50.37101236,E01015152,E02003148,E00076558,E54000037,E06000026
E7P1H,Dorset Health Village  Poole CDC,Poole Hospital NHS Trust,Longfleet Road,,Poole,,BH15 2JB,CDC,QVV,NHS Dorset Integrated Care Board,BH152JB,-1.973116857,50.72198734,E01034281,E02003208,E00078219,E54000041,E06000058
J9W8Y,"Dorset Health Village Boscombe, Aecc CDC",Parkwood Campus,Parkwood Road,,Bournemouth,,BH5 2DF,CDC,QVV,NHS Dorset Integrated Care Board,BH52DF,-1.82877156,50.72726065,E01015275,E02003187,E00077187,E54000041,E06000058
V1W2D,Dorset Health Village Poole Beales CDC,64-68 Dolphin Centre,,,Poole,,BH15 1SQ,CDC,QVV,NHS Dorset Integrated Care Board,BH151SQ,-1.97990414,50.71811285,E01032659,E02003208,E00172094,E54000041,E06000058
T2F2W,Dorset Health Village South Walks CDC,South Walks House,Charles Street,,Dorchester,Dorset,DT1 1EE,CDC,QVV,NHS Dorset Integrated Care Board,DT11EE,-2.436484569,50.71306097,E01032644,E02007006,E00104060,E54000041,E06000059
C4Q4G,Dorset Health Village Weymouth CDC,Weymouth Community Hospital,3 Melcombe Avenue,,Weymouth,,DT4 7TB,CDC,QVV,NHS Dorset Integrated Care Board,DT47TB,-2.451011651,50.6210362,E01020556,E02004284,E00104254,E54000041,E06000059
F7F9Z,Gloucestershire Quayside CDC,Quay Street,,,Gloucester,,GL1 2TZ,CDC,QR1,NHS Gloucestershire Integrated Care Board,GL12TZ,-2.251590576,51.86619488,E01034792,E02004639,E00186359,E54000043,E07000081
C0U5C,Bridgewater CDC,Bower Lane,,,Bridgwater,,TA6 4GU,CDC,QSL,NHS Somerset Integrated Care Board,TA64GU,-2.974124426,51.14056266,E01035115,E02006070,E00186613,E54000038,E06000066
