Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
J83035,Abbey Meads Medical Practice,Elstree Way,,,Swindon,Wiltshire,SN25 4YZ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN254YZ,-1.793298495,51.5980153,E01015512,E02006849,E00078465,E54000040,E06000030
J83035001,Abbey Meads Medical Practice: Penhill Surgery,257 Penhill Drive,,,Swindon,Wiltshire,SN2 5HN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN25HN,-1.780735336,51.59560084,E01015545,E02003214,E00078617,E54000040,E06000030
J83036,Ashington House Surgery,Ashington Way,Westlea,,Swindon,Wiltshire,SN5 7XY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN57XY,-1.826614754,51.5574732,E01015567,E02003225,E00078744,E54000040,E06000030
J83018,Avenue Surgery,14 The Avenue,,,Warminster,Wiltshire,BA12 9AA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA129AA,-2.178535874,51.20632254,E01032103,E02006694,E00163755,E54000040,E06000054
J83023,Avon Valley Practice,43 Fairfield,Upavon,,Pewsey,Wiltshire,SN9 6DZ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN96DZ,-1.812103742,51.29410524,E01031882,E02006642,E00162620,E54000040,E06000054
J83023001,Avon Valley Practice: Durrington Surgery,77 Bulford Road,Durrington,,Salisbury,Wiltshire,SP4 8EU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP48EU,-1.77136155,51.19815255,E01031996,E02006662,E00163191,E54000040,E06000054
J83005,Barcroft Medical Centre,Amesbury,,,Salisbury,Wiltshire,SP4 7DL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP47DL,-1.780526265,51.17293862,E01031979,E02006663,E00163092,E54000040,E06000054
L81027,Batheaston Medical Centre,Coalpit Road,Batheaston,,Bath,Avon,BA1 7NP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA17NP,-2.317386854,51.40603248,E01014373,E02002994,E00072597,E54000040,E06000022
RVN8L,Beversbrook Centre,Unit A1-A2,Redman Road,,Calne,Wiltshire,SN11 9PR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN119PR,-1.998253004,51.45289538,E01032690,E02006657,E00166344,E54000040,E06000054
J83013,Box Surgery,London Road,Box,,Corsham,Wiltshire,SN13 8NA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN138NA,-2.250153175,51.41764174,E01031890,E02006659,E00162658,E54000040,E06000054
J83013001,Box Surgery: Firs Surgery,3 Cleaves Avenue,Colerne,,Chippenham,Wiltshire,SN14 8BX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN148BX,-2.267543066,51.4380322,E01031929,E02006659,E00162844,E54000040,E06000054
J83030003,Bradford-on-Avon and Melksham Health: St Margaret's Surgery,29 Bridge Street,,,Bradford-on-Avon,Wiltshire,BA15 1BY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA151BY,-2.25035289,51.34631043,E01034532,E02006682,E00184231,E54000040,E06000054
J83030001,Bradford-on-Avon and Melksham Health: Winsley Surgery,73a Tyning Road,Winsley,,Bradford-on-Avon,Wiltshire,BA15 2JW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA152JW,-2.285009453,51.35036736,E01032059,E02006681,E00163525,E54000040,E06000054
J83601,Burbage Surgery,9 The Sprays,Burbage,,Marlborough,Wiltshire,SN8 3TA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN83TA,-1.669544592,51.34849599,E01031847,E02006640,E00162424,E54000040,E06000054
J83014,Castle Practice,The Ludgershall Health Centre,Central Street,Ludgershall,Andover,Hampshire,SP11 9RA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP119RA,-1.617530907,51.2560279,E01031859,E02007025,E00162497,E54000040,E06000054
J83014002,Castle Practice: Tidworth Surgery,Drummer Lane,,,Tidworth,Hampshire,SP9 7FH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP97FH,-1.660703031,51.23509289,E01034557,E02007026,E00166427,E54000040,E06000054
L81065,Combe Down Surgery,Combe Down House,The Avenue,Combe Down,Bath,Avon,BA2 5EG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA25EG,-2.345599329,51.36100322,E01014388,E02003002,E00072672,E54000040,E06000022
L81065001,Combe Down Surgery: Sulis Manor Road Surgery,Sulis Meadows,Sulis Manor Road,Odd Down,Bath,Avon,BA2 2AL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA22AL,-2.37509642,51.35353022,E01014433,E02003003,E00072890,E54000040,E06000022
J83619,Courtyard Surgery,39 High Street,West Lavington,,Devizes,Wiltshire,SN10 4JB,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN104JB,-1.994918059,51.27941899,E01031858,E02006641,E00162484,E54000040,E06000054
J83609001,Cricklade Surgery: Ashton Keynes Surgery,Village Hall,Ashton Keynes,,Swindon,Wiltshire,SN6 6NT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN66NT,-1.932923887,51.64468968,E01031887,E02006644,E00162635,E54000040,E06000054
D5K3F,Crossroads Surgery,478 Cricklade Road,,,Swindon,Wiltshire,SN2 7BG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN27BG,-1.774973388,51.58426986,E01015560,E02003216,E00177292,E54000040,E06000030
J83043,Downton Surgery,Moot Lane,Downton,,Salisbury,Wiltshire,SP5 3JP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP53JP,-1.742674241,50.99068104,E01031993,E02006677,E00163163,E54000040,E06000054
L81059,Elm Hayes Surgery,Clandown Road,Paulton,,Bristol,Avon,BS39 7SF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BS397SF,-2.492755987,51.30054608,E01014439,E02003007,E00072937,E54000040,E06000022
L81071,Fairfield Park Health Centre,Tyning Lane,Camden Road,,Bath,Avon,BA1 6EA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA16EA,-2.352596438,51.39497094,E01014465,E02002990,E00073050,E54000040,E06000022
J83011,Giffords Primary Care Centre,Spa Road,,,Melksham,Wiltshire,SN12 7EA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN127EA,-2.13088449,51.36781539,E01032068,E02006680,E00163550,E54000040,E06000054
I6I1Q,Great Western Surgery,Farriers Close,,,Swindon,Wiltshire,SN1 2QU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN12QU,-1.767976023,51.56958235,E01015479,E02003228,E00078261,E54000040,E06000030
J83003,Harcourt Medical Centre,Crane Bridge Road,,,Salisbury,Wiltshire,SP2 7TD,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP27TD,-1.80076221,51.06748891,E01032022,E02006673,E00163334,E54000040,E06000054
