Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
RN330,Devizes Community Hospital,New Park Road,,,Devizes,Wiltshire,SN10 1EF,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN101EF,-1.993230003,51.35458092,E01031854,E02006638,E00162466,E54000040,E06000054
RN332,Melksham Community Hospital,Spa Road,,,Melksham,Wiltshire,SN12 7NZ,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN127NZ,-2.1315433,51.36713128,E01032069,E02006680,E00163564,E54000040,E06000054
RN334,Trowbridge Community Hospital,Adcroft Street,,,Trowbridge,Wiltshire,BA14 8PH,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA148PH,-2.20988226,51.32529542,E01034533,E02006684,E00184207,E54000040,E06000054
RN313,Savernake Hospital,General Hospital,,,Marlborough,Wiltshire,SN8 3HL,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN83HL,-1.704925492,51.41540748,E01031866,E02006636,E00162526,E54000040,E06000054
RD108,Trowbridge Hospital,Adcroft Street,,,Trowbridge,Wiltshire,BA14 8PH,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA148PH,-2.20988226,51.32529542,E01034533,E02006684,E00184207,E54000040,E06000054
RVN6W,Westbury Hospital,The Butts,,,Westbury,Wiltshire,BA13 3EL,Community hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA133EL,-2.183482919,51.25523076,E01032695,E02007024,E00163835,E54000040,E06000054
RD102,Chippenham Hospital,Rowden Hill,,,Chippenham,Wiltshire,SN15 2AJ,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN152AJ,-2.126708995,51.45253891,E01031913,E02006654,E00184324,E54000040,E06000054
RD132,St Martins Hospital (Bath),Midford Road,,,Bath,Avon,BA2 5RP,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA25RP,-2.372621035,51.35816887,E01014416,E02003001,E00072826,E54000040,E06000022
RNUAL,Swindon Community & Inpatient Child & Adolescent Mental Health,Okus Road,,,Swindon,Wiltshire,SN1 4JS,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN14JS,-1.797293719,51.55016124,E01032707,E02003232,E00078559,E54000040,E06000030
RN3G2,Swindon Intermediate Care Centre (Gwh),Great Western Hospital,Marlborough Road,,Swindon,Wiltshire,SN3 6BB,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN36BB,-1.727200095,51.53852835,E01015547,E02003219,E00078625,E54000040,E06000030
RD129,Paulton Hospital,Salisbury Road,Paulton,,Bristol,Avon,BS39 7SB,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BS397SB,-2.493295311,51.2986735,E01014439,E02003007,E00072938,E54000040,E06000022
RD105,Warminster Hospital,Portway,,,Warminster,Wiltshire,BA12 8QS,Community hospital (with inpatient beds),QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA128QS,-2.181715166,51.20670429,E01032103,E02006694,E00163757,E54000040,E06000054
RA773,South Bristol Community Hospital,Hengrove Promenade,,,Bristol,Avon,BS14 0DE,Community hospital (with inpatient beds),QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS140DE,-2.584902096,51.41340043,E01014607,E02003058,E00073784,E54000039,E06000023
RVJ21,Cossham Hospital,Lodge Road,,,Bristol,Avon,BS15 1LF,Community hospital (with inpatient beds),QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS151LF,-2.5161197,51.46888732,E01014624,E02003029,E00073858,E54000039,E06000023
RVJ04,Clevedon Hospital,Old Street,,,Clevedon,Avon,BS21 6BS,Community hospital (with inpatient beds),QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS216BS,-2.845890522,51.4378921,E01014752,E02003069,E00074522,E54000039,E06000024
RJ866,Bodmin Hospital,Bodmin Hospital,Boundary Road,,Bodmin,Cornwall,PL31 2QT,Community hospital,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL312QT,-4.74194372,50.46881488,E01018929,E02003942,E00095596,E54000036,E06000052
REF45,St Barnabas Hospital,St. Barnabas Hospital,Higher Port View,,Saltash,Cornwall,PL12 4BU,Community hospital,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL124BU,-4.214051508,50.40733293,E01018791,E02003900,E00094860,E54000036,E06000052
