Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
RVN6A,Green Lane Psychiatric Hospital,Green Lane,,,Devizes,Wiltshire,SN10 5DS,Specialist Hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SN105DS,-1.981302619,51.33914989,E01031855,E02006638,E00162475,E54000040,E06000054
T6R4A,Sulis Hospital Bath Elective Surgical Hub -  Orthopaedic Centre,Foxcote Avenue,Bath Business Park,Peasedown Saint John,Bath,Somerset,BA2 8SQ,Specialist Hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA28SQ,-2.416516286,51.31132668,E01014444,E02003006,E00072943,E54000040,E06000022
RD115,Royal National Hospital for Rheumatic Diseases,Combe Park,,,Bath,,BA1 3NG,Specialist Hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",BA13NG,-2.391217782,51.39166524,E01014428,E02002992,E00072879,E54000040,E06000022
I9U7R,South Newton Neuro Hospital (independent),Warminster Road,South Newton,,Salisbury,Wiltshire,SP2 0QD,Specialist Hospital,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",SP20QD,-1.876024007,51.10722998,E01032013,E02006664,E00163279,E54000040,E06000054
RVNP3,Callington Road Psychiatric Hospital,Marmalade Lane,Brislington,,Bristol,Avon,BS4 5BJ,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS45BJ,-2.557554848,51.43126536,E01014534,E02003054,E00073411,E54000039,E06000023
RA708,Bristol Eye Hospital,Lower Maudlin Street,,,Bristol,Avon,BS1 2LX,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS12LX,-2.594545542,51.45843613,E01033904,E02006951,E00174312,E54000039,E06000023
RA709,University of Bristol Dental Hospital,Lower Maudlin Street,,,Bristol,Avon,BS1 2LY,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS12LY,-2.595195535,51.45861266,E01033904,E02006951,E00174312,E54000039,E06000023
RA723,Bristol Royal Hospital for Children,Upper Maudlin Street,,,Bristol,Avon,BS2 8BJ,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS28BJ,-2.59732884,51.4577476,E01033904,E02006951,E00174312,E54000039,E06000023
RA7KA,Bristol Dental Hospital,Bristol Dental Hospital,Lower Maudlin Street,,Bristol,Avon,BS1 2LY,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS12LY,-2.595195535,51.45861266,E01033904,E02006951,E00174312,E54000039,E06000023
RVN3Q,Blackberry Hill Psychiatric Hospital,Manor Road,Fishponds,Blackberry Hill Hospital,Bristol,Avon,BS16 2EW,Specialist Hospital,QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",BS162EW,-2.538832644,51.48314467,E01014588,E02003024,E00174323,E54000039,E06000023
RH868,Mardon Neuro-Rehabilitation Centre,Mardon House,Wonford Road,,Exeter,Devon,EX2 4UD,Specialist Hospital,QJK,NHS Devon Integrated Care Board,EX24UD,-3.513447267,50.71658817,E01020023,E02004157,E00171919,E54000037,E07000041
RDY10,St Ann's Psychiatric Hospital,69 Haven Road,,,Poole,Dorset,BH13 7LN,Specialist Hospital,QVV,NHS Dorset Integrated Care Board,BH137LN,-1.928117033,50.69916293,E01015406,E02003211,E00077892,E54000041,E06000058
RTE21,Berkeley Learning Disabilities Hospital,Marybrook Street,,,Berkeley,Gloucestershire,GL13 9BL,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL139BL,-2.45831578,51.69235721,E01022353,E02004662,E00113617,E54000043,E07000082
RTQBV,Ashley Intermediate Care Centre,Greville House,279 London Road,Charlton Kings,Cheltenham,Gloucestershire,GL52 6YL,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL526YL,-2.044947716,51.88347549,E01022111,E02004611,E00112349,E54000043,E07000078
RTQ77,Tyndale Centre Day Hospital,The Slade,,,Dursley,Gloucestershire,GL11 4JX,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL114JX,-2.354508253,51.68058739,E01022372,E02004664,E00113723,E54000043,E07000082
RTE27,Stroud Maternity Hospital,Field Road,,,Stroud,Gloucestershire,GL5 2JB,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL52JB,-2.208856622,51.74229258,E01022410,E02004656,E00113915,E54000043,E07000082
RTQ31,Colliers Court Mental Health Clinic,Latimer Road,,,Cinderford,Gloucestershire,GL14 2QA,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL142QA,-2.490343029,51.82574628,E01022237,E02004629,E00113036,E54000043,E07000080
RTQ32,Holly House,West Lodge Drive,,,Gloucester,Gloucestershire,GL4 4XU,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL44XU,-2.209567636,51.85192781,E01022285,E02004642,E00113272,E54000043,E07000081
RTQ2A,Charlton Lane Mental Health Hospital,Charlton Lane,,,Cheltenham,Gloucestershire,GL53 9DZ,Specialist Hospital,QR1,NHS Gloucestershire Integrated Care Board,GL539DZ,-2.073680931,51.88105139,E01022130,E02004614,E00112450,E54000043,E07000078
RH508,Magnolia Mental Health Hospital,Summerlands Hospital Site,Preston Road,,Yeovil,Somerset,BA20 2BN,Specialist Hospital,QSL,NHS Somerset Integrated Care Board,BA202BN,-2.645917064,50.94605824,E01029248,E02006086,E00148987,E54000038,E06000066
RH572,Rowan Mental Health Hospital,Summerlands Hospital Site,Preston Road,,Yeovil,Somerset,BA20 2BX,Specialist Hospital,QSL,NHS Somerset Integrated Care Board,BA202BX,-2.648115881,50.94654064,E01029246,E02006090,E00148993,E54000038,E06000066
RH563,Wellsprings Mental Health Hospital,Cheddon Road,,,Taunton,Somerset,TA2 7AU,Specialist Hospital,QSL,NHS Somerset Integrated Care Board,TA27AU,-3.101432706,51.03244949,E01029304,E02006102,E00149302,E54000038,E06000066
RH5T5,WellesleyMental Health Hospital,Westpark,Chelston,,Wellington,Somerset,TA21 9FF,Specialist Hospital,QSL,NHS Somerset Integrated Care Board,TA219FF,-3.205607405,50.97896681,E01035129,E02006110,E00186651,E54000038,E06000066
