LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01019077,Isles of Scilly 001A,22165.0,Isles of Scilly,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018881,Cornwall 073A,12647.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018904,Cornwall 073D,15335.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018920,Cornwall 073E,11963.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018903,Cornwall 073C,16214.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018902,Cornwall 073B,13968.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01019005,Cornwall 069C,12078.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018907,Cornwall 072E,8622.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018886,Cornwall 071E,22536.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018906,Cornwall 072D,16680.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018887,Cornwall 071F,12829.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01019002,Cornwall 070B,10603.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018888,Cornwall 071G,10850.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018885,Cornwall 071D,13958.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01019006,Cornwall 065D,11004.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018883,Cornwall 071B,21756.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018882,Cornwall 071A,28617.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01019004,Cornwall 070D,3228.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018905,Cornwall 072C,12231.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018884,Cornwall 071C,25473.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018862,Cornwall 072B,11239.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018861,Cornwall 072A,9872.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
E01018879,Cornwall 066A,20297.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board
