LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01020173,South Hams 012B,27399.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020172,South Hams 012A,19560.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020189,South Hams 010C,10891.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020168,South Hams 010A,20966.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020179,South Hams 012C,18949.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020169,South Hams 010B,23467.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020147,South Hams 008A,16104.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020171,South Hams 009A,28219.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020186,South Hams 009C,28017.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020185,South Hams 009B,29260.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020178,South Hams 011C,19888.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020174,South Hams 011A,14791.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020175,South Hams 011B,17205.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020151,South Hams 007A,29224.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020142,South Hams 006A,16934.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020155,South Hams 007D,9296.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020152,South Hams 007B,19104.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020154,South Hams 007C,21139.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020153,South Hams 004A,17202.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020188,South Hams 004D,17489.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015130,Plymouth 032C,29234.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020159,South Hams 008C,17339.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015129,Plymouth 032B,13023.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020158,South Hams 008B,26777.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015139,Plymouth 031E,16438.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020190,South Hams 008D,26072.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015128,Plymouth 032A,23612.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020187,South Hams 009D,19157.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015141,Plymouth 031F,25625.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015140,Plymouth 032E,26455.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01034161,Plymouth 034D,,Plymouth,Urban,NHS Devon Integrated Care Board
E01015138,Plymouth 031D,19736.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015126,Plymouth 030A,28526.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015127,Plymouth 030B,17923.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015136,Plymouth 031B,22279.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015137,Plymouth 031C,22871.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015134,Plymouth 032D,24541.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015133,Plymouth 030E,27920.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01034158,Plymouth 031H,,Plymouth,Urban,NHS Devon Integrated Care Board
E01015132,Plymouth 030D,17075.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015182,Plymouth 028E,4502.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01034162,Plymouth 034E,,Plymouth,Urban,NHS Devon Integrated Care Board
E01034160,Plymouth 034C,,Plymouth,Urban,NHS Devon Integrated Care Board
E01034159,Plymouth 034B,,Plymouth,Urban,NHS Devon Integrated Care Board
E01015131,Plymouth 030C,31190.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015156,Plymouth 027E,5247.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015181,Plymouth 028D,4620.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01032658,Plymouth 027G,3793.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01032657,Plymouth 027F,14499.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015180,Plymouth 028C,2315.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015152,Plymouth 027C,1229.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015179,Plymouth 028B,12813.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015054,Plymouth 027B,12840.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015177,Plymouth 025D,12027.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015047,Plymouth 026D,2529.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015155,Plymouth 034A,163.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015048,Plymouth 026E,2847.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015046,Plymouth 026C,448.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015153,Plymouth 033C,321.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015053,Plymouth 027A,5121.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015176,Plymouth 021F,4932.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01034157,Plymouth 031G,,Plymouth,Urban,NHS Devon Integrated Care Board
E01015178,Plymouth 025E,10951.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015052,Plymouth 028A,7643.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015117,Plymouth 022E,21032.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015175,Plymouth 025C,10768.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015050,Plymouth 023D,11586.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015051,Plymouth 023E,14870.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015116,Plymouth 022D,22941.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015172,Plymouth 033B,8192.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015151,Plymouth 033A,1384.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015173,Plymouth 024C,10966.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015045,Plymouth 026B,2657.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015169,Plymouth 024A,10426.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015245,Torbay 018B,8262.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015244,Torbay 018A,17185.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015247,Torbay 018D,11651.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015248,Torbay 018E,5974.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015201,Torbay 016E,18678.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015246,Torbay 018C,19171.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015184,Torbay 017B,19257.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015185,Torbay 017C,11161.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015186,Torbay 017D,4667.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015183,Torbay 017A,11034.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015062,Plymouth 025B,11922.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015061,Plymouth 025A,7865.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015049,Plymouth 023C,15992.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015112,Plymouth 019A,21317.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015114,Plymouth 019C,25119.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015115,Plymouth 022C,7444.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015032,Plymouth 023B,7337.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015060,Plymouth 021E,6891.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015109,Plymouth 022B,21659.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015059,Plymouth 021D,10581.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015171,Plymouth 020E,5576.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015170,Plymouth 024B,4746.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015043,Plymouth 026A,1196.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015044,Plymouth 020B,3211.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015174,Plymouth 024D,16869.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015167,Plymouth 020C,8723.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015042,Plymouth 020A,10854.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015099,Plymouth 017B,18454.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020163,South Hams 005C,29749.0,South Hams,Urban,NHS Devon Integrated Care Board
E01015031,Plymouth 023A,12003.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015113,Plymouth 019B,26574.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015107,Plymouth 018A,19848.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015108,Plymouth 022A,27136.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020166,South Hams 005F,30101.0,South Hams,Urban,NHS Devon Integrated Care Board
E01020161,South Hams 005A,18434.0,South Hams,Urban,NHS Devon Integrated Care Board
