LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01031991,Wiltshire 061A,14482.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031991,Wiltshire 061A,E02006676,Wiltshire 061,E06000054,Wiltshire
E01032029,Wiltshire 061B,19898.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032029,Wiltshire 061B,E02006676,Wiltshire 061,E06000054,Wiltshire
E01032082,Wiltshire 047E,17264.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032082,Wiltshire 047E,E02006695,Wiltshire 047,E06000054,Wiltshire
E01032030,Wiltshire 061C,18147.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032030,Wiltshire 061C,E02006676,Wiltshire 061,E06000054,Wiltshire
E01032076,Wiltshire 047C,18259.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032076,Wiltshire 047C,E02006695,Wiltshire 047,E06000054,Wiltshire
E01031848,Wiltshire 028C,18624.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031848,Wiltshire 028C,E02006639,Wiltshire 028,E06000054,Wiltshire
E01032031,Wiltshire 061D,19137.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032031,Wiltshire 061D,E02006676,Wiltshire 061,E06000054,Wiltshire
E01032004,Wiltshire 054B,15668.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032004,Wiltshire 054B,E02006669,Wiltshire 054,E06000054,Wiltshire
E01032075,Wiltshire 047B,18849.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032075,Wiltshire 047B,E02006695,Wiltshire 047,E06000054,Wiltshire
E01031858,Wiltshire 034C,29303.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031858,Wiltshire 034C,E02006641,Wiltshire 034,E06000054,Wiltshire
E01031872,Wiltshire 028D,21773.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031872,Wiltshire 028D,E02006639,Wiltshire 028,E06000054,Wiltshire
E01032689,Wiltshire 025F,26092.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032689,Wiltshire 025F,E02006637,Wiltshire 025,E06000054,Wiltshire
E01032010,Wiltshire 050A,15092.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032010,Wiltshire 050A,E02006665,Wiltshire 050,E06000054,Wiltshire
E01032106,Wiltshire 044B,28539.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032106,Wiltshire 044B,E02006694,Wiltshire 044,E06000054,Wiltshire
E01032109,Wiltshire 044C,18304.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032109,Wiltshire 044C,E02006694,Wiltshire 044,E06000054,Wiltshire
E01032105,Wiltshire 042B,28952.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032105,Wiltshire 042B,E02006692,Wiltshire 042,E06000054,Wiltshire
E01032103,Wiltshire 044A,17347.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032103,Wiltshire 044A,E02006694,Wiltshire 044,E06000054,Wiltshire
E01032104,Wiltshire 042A,10346.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032104,Wiltshire 042A,E02006692,Wiltshire 042,E06000054,Wiltshire
E01032107,Wiltshire 042C,26286.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032107,Wiltshire 042C,E02006692,Wiltshire 042,E06000054,Wiltshire
E01032055,Wiltshire 039C,30195.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032055,Wiltshire 039C,E02006690,Wiltshire 039,E06000054,Wiltshire
E01032056,Wiltshire 039D,14737.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032056,Wiltshire 039D,E02006690,Wiltshire 039,E06000054,Wiltshire
E01034540,Wiltshire 037D,,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034540,Wiltshire 037D,E02006689,Wiltshire 037,E06000054,Wiltshire
E01032072,Wiltshire 021F,29462.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032072,Wiltshire 021F,E02006679,Wiltshire 021,E06000054,Wiltshire
E01032070,Wiltshire 021D,14507.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032070,Wiltshire 021D,E02006679,Wiltshire 021,E06000054,Wiltshire
E01034530,Wiltshire 021I,,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034530,Wiltshire 021I,E02006679,Wiltshire 021,E06000054,Wiltshire
E01032069,Wiltshire 022E,28037.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032069,Wiltshire 022E,E02006680,Wiltshire 022,E06000054,Wiltshire
E01032067,Wiltshire 022C,23104.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032067,Wiltshire 022C,E02006680,Wiltshire 022,E06000054,Wiltshire
E01032066,Wiltshire 022B,14018.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032066,Wiltshire 022B,E02006680,Wiltshire 022,E06000054,Wiltshire
E01032081,Wiltshire 047D,16296.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032081,Wiltshire 047D,E02006695,Wiltshire 047,E06000054,Wiltshire
E01032113,Wiltshire 043D,12670.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032113,Wiltshire 043D,E02006693,Wiltshire 043,E06000054,Wiltshire
E01032035,Wiltshire 050B,29559.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032035,Wiltshire 050B,E02006665,Wiltshire 050,E06000054,Wiltshire
E01032037,Wiltshire 050D,17097.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032037,Wiltshire 050D,E02006665,Wiltshire 050,E06000054,Wiltshire
E01032036,Wiltshire 050C,11672.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032036,Wiltshire 050C,E02006665,Wiltshire 050,E06000054,Wiltshire
E01032051,Wiltshire 047A,17050.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032051,Wiltshire 047A,E02006695,Wiltshire 047,E06000054,Wiltshire
E01032110,Wiltshire 043A,21976.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032110,Wiltshire 043A,E02006693,Wiltshire 043,E06000054,Wiltshire
E01032112,Wiltshire 043C,26240.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032112,Wiltshire 043C,E02006693,Wiltshire 043,E06000054,Wiltshire
E01032694,Wiltshire 064D,24542.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032694,Wiltshire 064D,E02007024,Wiltshire 064,E06000054,Wiltshire
E01032117,Wiltshire 063D,18550.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032117,Wiltshire 063D,E02007023,Wiltshire 063,E06000054,Wiltshire
E01032118,Wiltshire 063C,6761.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032118,Wiltshire 063C,E02007023,Wiltshire 063,E06000054,Wiltshire
E01032052,Wiltshire 039A,28632.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032052,Wiltshire 039A,E02006690,Wiltshire 039,E06000054,Wiltshire
E01034552,Wiltshire 063B,,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034552,Wiltshire 063B,E02007023,Wiltshire 063,E06000054,Wiltshire
E01032053,Wiltshire 037A,25699.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032053,Wiltshire 037A,E02006689,Wiltshire 037,E06000054,Wiltshire
E01032088,Wiltshire 036A,23845.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032088,Wiltshire 036A,E02006688,Wiltshire 036,E06000054,Wiltshire
E01032092,Wiltshire 035A,28587.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032092,Wiltshire 035A,E02006687,Wiltshire 035,E06000054,Wiltshire
E01032114,Wiltshire 044D,17281.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032114,Wiltshire 044D,E02006694,Wiltshire 044,E06000054,Wiltshire
E01032108,Wiltshire 042D,24078.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032108,Wiltshire 042D,E02006692,Wiltshire 042,E06000054,Wiltshire
E01032111,Wiltshire 043B,15222.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032111,Wiltshire 043B,E02006693,Wiltshire 043,E06000054,Wiltshire
E01032054,Wiltshire 039B,13890.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032054,Wiltshire 039B,E02006690,Wiltshire 039,E06000054,Wiltshire
E01032695,Wiltshire 064C,26676.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032695,Wiltshire 064C,E02007024,Wiltshire 064,E06000054,Wiltshire
E01032121,Wiltshire 039E,22915.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032121,Wiltshire 039E,E02006690,Wiltshire 039,E06000054,Wiltshire
E01032119,Wiltshire 064B,19390.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032119,Wiltshire 064B,E02007024,Wiltshire 064,E06000054,Wiltshire
E01032115,Wiltshire 064A,10628.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032115,Wiltshire 064A,E02007024,Wiltshire 064,E06000054,Wiltshire
E01034551,Wiltshire 063A,,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034551,Wiltshire 063A,E02007023,Wiltshire 063,E06000054,Wiltshire
E01034541,Wiltshire 037E,,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034541,Wiltshire 037E,E02006689,Wiltshire 037,E06000054,Wiltshire
E01032083,Wiltshire 037B,17962.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032083,Wiltshire 037B,E02006689,Wiltshire 037,E06000054,Wiltshire
E01032061,Wiltshire 023D,30067.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032061,Wiltshire 023D,E02006681,Wiltshire 023,E06000054,Wiltshire
E01032049,Wiltshire 027E,25180.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032049,Wiltshire 027E,E02006682,Wiltshire 027,E06000054,Wiltshire
E01034532,Wiltshire 027H,,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01034532,Wiltshire 027H,E02006682,Wiltshire 027,E06000054,Wiltshire
E01032047,Wiltshire 027C,28694.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032047,Wiltshire 027C,E02006682,Wiltshire 027,E06000054,Wiltshire
E01032046,Wiltshire 027B,24600.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032046,Wiltshire 027B,E02006682,Wiltshire 027,E06000054,Wiltshire
E01032060,Wiltshire 023C,27494.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032060,Wiltshire 023C,E02006681,Wiltshire 023,E06000054,Wiltshire
E01014442,Bath and North East Somerset 022B,24837.0,Bath and North East Somerset,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01014442,Bath and North East Somerset 022B,E02003006,Bath and North East Somerset 022,E06000022,Bath and North East Somerset
E01033079,Bath and North East Somerset 010H,22711.0,Bath and North East Somerset,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01033079,Bath and North East Somerset 010H,E02002994,Bath and North East Somerset 010,E06000022,Bath and North East Somerset
E01033078,Bath and North East Somerset 010G,28395.0,Bath and North East Somerset,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01033078,Bath and North East Somerset 010G,E02002994,Bath and North East Somerset 010,E06000022,Bath and North East Somerset
E01035209,Bath and North East Somerset 022F,,Bath and North East Somerset,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01035209,Bath and North East Somerset 022F,E02003006,Bath and North East Somerset 022,E06000022,Bath and North East Somerset
