LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01014848,North Somerset 013B,19217.0,North Somerset,Rural,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014848,North Somerset 013B,E02003077,North Somerset 013,E06000024,North Somerset
E01014847,North Somerset 013A,23212.0,North Somerset,Rural,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014847,North Somerset 013A,E02003077,North Somerset 013,E06000024,North Somerset
E01014727,Bristol 053C,226.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014727,Bristol 053C,E02003064,Bristol 053,E06000023,"Bristol, City of"
E01014726,Bristol 053B,91.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014726,Bristol 053B,E02003064,Bristol 053,E06000023,"Bristol, City of"
E01014597,Bristol 051D,483.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014597,Bristol 051D,E02003062,Bristol 051,E06000023,"Bristol, City of"
E01014517,Bristol 050C,2813.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014517,Bristol 050C,E02003061,Bristol 050,E06000023,"Bristol, City of"
E01014516,Bristol 050B,890.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014516,Bristol 050B,E02003061,Bristol 050,E06000023,"Bristol, City of"
E01032514,Bristol 053E,182.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01032514,Bristol 053E,E02003064,Bristol 053,E06000023,"Bristol, City of"
E01014526,Bristol 038D,4726.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014526,Bristol 038D,E02003049,Bristol 038,E06000023,"Bristol, City of"
E01014533,Bristol 043A,16071.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014533,Bristol 043A,E02003054,Bristol 043,E06000023,"Bristol, City of"
E01014921,South Gloucestershire 031F,21938.0,South Gloucestershire,Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014921,South Gloucestershire 031F,E02003120,South Gloucestershire 031,E06000025,South Gloucestershire
E01014534,Bristol 043B,14604.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014534,Bristol 043B,E02003054,Bristol 043,E06000023,"Bristol, City of"
E01014648,Bristol 042C,21206.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014648,Bristol 042C,E02003053,Bristol 042,E06000023,"Bristol, City of"
E01014525,Bristol 038C,22495.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014525,Bristol 038C,E02003049,Bristol 038,E06000023,"Bristol, City of"
E01014649,Bristol 042D,22285.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014649,Bristol 042D,E02003053,Bristol 042,E06000023,"Bristol, City of"
E01014735,Bristol 037D,20265.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014735,Bristol 037D,E02003048,Bristol 037,E06000023,"Bristol, City of"
E01014734,Bristol 040C,20081.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014734,Bristol 040C,E02003051,Bristol 040,E06000023,"Bristol, City of"
E01014732,Bristol 037C,16246.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014732,Bristol 037C,E02003048,Bristol 037,E06000023,"Bristol, City of"
E01014524,Bristol 038B,16362.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014524,Bristol 038B,E02003049,Bristol 038,E06000023,"Bristol, City of"
E01014919,South Gloucestershire 031D,29899.0,South Gloucestershire,Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014919,South Gloucestershire 031D,E02003120,South Gloucestershire 031,E06000025,South Gloucestershire
E01014531,Bristol 035D,18045.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014531,Bristol 035D,E02003046,Bristol 035,E06000023,"Bristol, City of"
E01014523,Bristol 038A,9490.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014523,Bristol 038A,E02003049,Bristol 038,E06000023,"Bristol, City of"
E01014731,Bristol 037B,11426.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014731,Bristol 037B,E02003048,Bristol 037,E06000023,"Bristol, City of"
E01014532,Bristol 035E,15583.0,"Bristol, City of",Urban,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E01014532,Bristol 035E,E02003046,Bristol 035,E06000023,"Bristol, City of"
