LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01019077,Isles of Scilly 001A,22165.0,Isles of Scilly,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01019077,Isles of Scilly 001A,E02006781,Isles of Scilly 001,E06000053,Isles of Scilly
E01018881,Cornwall 073A,12647.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018881,Cornwall 073A,E02003930,Cornwall 073,E06000052,Cornwall
E01018904,Cornwall 073D,15335.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018904,Cornwall 073D,E02003930,Cornwall 073,E06000052,Cornwall
E01018920,Cornwall 073E,11963.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018920,Cornwall 073E,E02003930,Cornwall 073,E06000052,Cornwall
E01018903,Cornwall 073C,16214.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018903,Cornwall 073C,E02003930,Cornwall 073,E06000052,Cornwall
E01018902,Cornwall 073B,13968.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018902,Cornwall 073B,E02003930,Cornwall 073,E06000052,Cornwall
E01019005,Cornwall 069C,12078.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01019005,Cornwall 069C,E02003950,Cornwall 069,E06000052,Cornwall
E01018907,Cornwall 072E,8622.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018907,Cornwall 072E,E02003929,Cornwall 072,E06000052,Cornwall
E01018886,Cornwall 071E,22536.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018886,Cornwall 071E,E02003928,Cornwall 071,E06000052,Cornwall
E01018906,Cornwall 072D,16680.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018906,Cornwall 072D,E02003929,Cornwall 072,E06000052,Cornwall
E01018887,Cornwall 071F,12829.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018887,Cornwall 071F,E02003928,Cornwall 071,E06000052,Cornwall
E01019002,Cornwall 070B,10603.0,Cornwall,Rural,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01019002,Cornwall 070B,E02003951,Cornwall 070,E06000052,Cornwall
E01018888,Cornwall 071G,10850.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018888,Cornwall 071G,E02003928,Cornwall 071,E06000052,Cornwall
E01018885,Cornwall 071D,13958.0,Cornwall,Urban,NHS Cornwall and the Isles of Scilly Integrated Care Board,E01018885,Cornwall 071D,E02003928,Cornwall 071,E06000052,Cornwall
