LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01020173,South Hams 012B,27399.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020173,South Hams 012B,E02004200,South Hams 012,E07000044,South Hams
E01020172,South Hams 012A,19560.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020172,South Hams 012A,E02004200,South Hams 012,E07000044,South Hams
E01020189,South Hams 010C,10891.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020189,South Hams 010C,E02004198,South Hams 010,E07000044,South Hams
E01020168,South Hams 010A,20966.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020168,South Hams 010A,E02004198,South Hams 010,E07000044,South Hams
E01020179,South Hams 012C,18949.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020179,South Hams 012C,E02004200,South Hams 012,E07000044,South Hams
E01020169,South Hams 010B,23467.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020169,South Hams 010B,E02004198,South Hams 010,E07000044,South Hams
E01020147,South Hams 008A,16104.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020147,South Hams 008A,E02004196,South Hams 008,E07000044,South Hams
E01020171,South Hams 009A,28219.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020171,South Hams 009A,E02004197,South Hams 009,E07000044,South Hams
E01020186,South Hams 009C,28017.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020186,South Hams 009C,E02004197,South Hams 009,E07000044,South Hams
E01020185,South Hams 009B,29260.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020185,South Hams 009B,E02004197,South Hams 009,E07000044,South Hams
E01020178,South Hams 011C,19888.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020178,South Hams 011C,E02004199,South Hams 011,E07000044,South Hams
E01020174,South Hams 011A,14791.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020174,South Hams 011A,E02004199,South Hams 011,E07000044,South Hams
E01020175,South Hams 011B,17205.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020175,South Hams 011B,E02004199,South Hams 011,E07000044,South Hams
E01020151,South Hams 007A,29224.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020151,South Hams 007A,E02004195,South Hams 007,E07000044,South Hams
E01020142,South Hams 006A,16934.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020142,South Hams 006A,E02004194,South Hams 006,E07000044,South Hams
E01020155,South Hams 007D,9296.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020155,South Hams 007D,E02004195,South Hams 007,E07000044,South Hams
E01020152,South Hams 007B,19104.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020152,South Hams 007B,E02004195,South Hams 007,E07000044,South Hams
E01020154,South Hams 007C,21139.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020154,South Hams 007C,E02004195,South Hams 007,E07000044,South Hams
E01020153,South Hams 004A,17202.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020153,South Hams 004A,E02004192,South Hams 004,E07000044,South Hams
E01020188,South Hams 004D,17489.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020188,South Hams 004D,E02004192,South Hams 004,E07000044,South Hams
E01015130,Plymouth 032C,29234.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015130,Plymouth 032C,E02003153,Plymouth 032,E06000026,Plymouth
E01020159,South Hams 008C,17339.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020159,South Hams 008C,E02004196,South Hams 008,E07000044,South Hams
E01015129,Plymouth 032B,13023.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015129,Plymouth 032B,E02003153,Plymouth 032,E06000026,Plymouth
E01020158,South Hams 008B,26777.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020158,South Hams 008B,E02004196,South Hams 008,E07000044,South Hams
E01015139,Plymouth 031E,16438.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015139,Plymouth 031E,E02003152,Plymouth 031,E06000026,Plymouth
E01020190,South Hams 008D,26072.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020190,South Hams 008D,E02004196,South Hams 008,E07000044,South Hams
E01015128,Plymouth 032A,23612.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015128,Plymouth 032A,E02003153,Plymouth 032,E06000026,Plymouth
E01020187,South Hams 009D,19157.0,South Hams,Rural,NHS Devon Integrated Care Board,E01020187,South Hams 009D,E02004197,South Hams 009,E07000044,South Hams
E01015141,Plymouth 031F,25625.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015141,Plymouth 031F,E02003152,Plymouth 031,E06000026,Plymouth
E01015140,Plymouth 032E,26455.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015140,Plymouth 032E,E02003153,Plymouth 032,E06000026,Plymouth
E01034161,Plymouth 034D,,Plymouth,Urban,NHS Devon Integrated Care Board,E01034161,Plymouth 034D,E02006990,Plymouth 034,E06000026,Plymouth
E01015138,Plymouth 031D,19736.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015138,Plymouth 031D,E02003152,Plymouth 031,E06000026,Plymouth
E01015126,Plymouth 030A,28526.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015126,Plymouth 030A,E02003151,Plymouth 030,E06000026,Plymouth
E01015127,Plymouth 030B,17923.0,Plymouth,Urban,NHS Devon Integrated Care Board,E01015127,Plymouth 030B,E02003151,Plymouth 030,E06000026,Plymouth
