LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01020484,Dorset 042G,18033.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020484,Dorset 042G,E02004268,Dorset 042,E06000059,Dorset
E01020481,Dorset 042D,21081.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020481,Dorset 042D,E02004268,Dorset 042,E06000059,Dorset
E01020482,Dorset 042E,18607.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020482,Dorset 042E,E02004268,Dorset 042,E06000059,Dorset
E01020479,Dorset 042B,22959.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020479,Dorset 042B,E02004268,Dorset 042,E06000059,Dorset
E01020478,Dorset 042A,26137.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020478,Dorset 042A,E02004268,Dorset 042,E06000059,Dorset
E01020480,Dorset 042C,21774.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020480,Dorset 042C,E02004268,Dorset 042,E06000059,Dorset
E01015406,"Bournemouth, Christchurch and Poole 048E",26773.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015406,"Bournemouth, Christchurch and Poole 048E",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole"
E01015459,"Bournemouth, Christchurch and Poole 047E",31884.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015459,"Bournemouth, Christchurch and Poole 047E",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole"
E01015404,"Bournemouth, Christchurch and Poole 048C",30965.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015404,"Bournemouth, Christchurch and Poole 048C",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole"
E01015455,"Bournemouth, Christchurch and Poole 047D",32379.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015455,"Bournemouth, Christchurch and Poole 047D",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole"
E01015370,"Bournemouth, Christchurch and Poole 045D",22895.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015370,"Bournemouth, Christchurch and Poole 045D",E02006885,"Bournemouth, Christchurch and Poole 045",E06000058,"Bournemouth, Christchurch and Poole"
E01015405,"Bournemouth, Christchurch and Poole 048D",29125.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015405,"Bournemouth, Christchurch and Poole 048D",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole"
E01015368,"Bournemouth, Christchurch and Poole 045B",22065.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015368,"Bournemouth, Christchurch and Poole 045B",E02006885,"Bournemouth, Christchurch and Poole 045",E06000058,"Bournemouth, Christchurch and Poole"
E01015367,"Bournemouth, Christchurch and Poole 045A",6331.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015367,"Bournemouth, Christchurch and Poole 045A",E02006885,"Bournemouth, Christchurch and Poole 045",E06000058,"Bournemouth, Christchurch and Poole"
E01015369,"Bournemouth, Christchurch and Poole 045C",19638.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015369,"Bournemouth, Christchurch and Poole 045C",E02006885,"Bournemouth, Christchurch and Poole 045",E06000058,"Bournemouth, Christchurch and Poole"
E01015403,"Bournemouth, Christchurch and Poole 048B",27010.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015403,"Bournemouth, Christchurch and Poole 048B",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole"
E01034274,"Bournemouth, Christchurch and Poole 038H",,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01034274,"Bournemouth, Christchurch and Poole 038H",E02003188,"Bournemouth, Christchurch and Poole 038",E06000058,"Bournemouth, Christchurch and Poole"
E01034278,"Bournemouth, Christchurch and Poole 041F",,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01034278,"Bournemouth, Christchurch and Poole 041F",E02003192,"Bournemouth, Christchurch and Poole 041",E06000058,"Bournemouth, Christchurch and Poole"
E01015291,"Bournemouth, Christchurch and Poole 041D",16452.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015291,"Bournemouth, Christchurch and Poole 041D",E02003192,"Bournemouth, Christchurch and Poole 041",E06000058,"Bournemouth, Christchurch and Poole"
E01015371,"Bournemouth, Christchurch and Poole 040A",10396.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015371,"Bournemouth, Christchurch and Poole 040A",E02006883,"Bournemouth, Christchurch and Poole 040",E06000058,"Bournemouth, Christchurch and Poole"
E01015458,"Bournemouth, Christchurch and Poole 043A",30986.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015458,"Bournemouth, Christchurch and Poole 043A",E02003206,"Bournemouth, Christchurch and Poole 043",E06000058,"Bournemouth, Christchurch and Poole"
E01015452,"Bournemouth, Christchurch and Poole 047A",30438.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015452,"Bournemouth, Christchurch and Poole 047A",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole"
E01015464,"Bournemouth, Christchurch and Poole 043F",31038.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015464,"Bournemouth, Christchurch and Poole 043F",E02003206,"Bournemouth, Christchurch and Poole 043",E06000058,"Bournemouth, Christchurch and Poole"
E01015402,"Bournemouth, Christchurch and Poole 048A",16557.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015402,"Bournemouth, Christchurch and Poole 048A",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole"
E01034281,"Bournemouth, Christchurch and Poole 044G",,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01034281,"Bournemouth, Christchurch and Poole 044G",E02003208,"Bournemouth, Christchurch and Poole 044",E06000058,"Bournemouth, Christchurch and Poole"
E01015463,"Bournemouth, Christchurch and Poole 043E",28400.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015463,"Bournemouth, Christchurch and Poole 043E",E02003206,"Bournemouth, Christchurch and Poole 043",E06000058,"Bournemouth, Christchurch and Poole"
E01015453,"Bournemouth, Christchurch and Poole 047B",25978.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015453,"Bournemouth, Christchurch and Poole 047B",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole"
E01015466,"Bournemouth, Christchurch and Poole 044B",22274.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015466,"Bournemouth, Christchurch and Poole 044B",E02003208,"Bournemouth, Christchurch and Poole 044",E06000058,"Bournemouth, Christchurch and Poole"
E01015462,"Bournemouth, Christchurch and Poole 043D",19863.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015462,"Bournemouth, Christchurch and Poole 043D",E02003206,"Bournemouth, Christchurch and Poole 043",E06000058,"Bournemouth, Christchurch and Poole"
