LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01034790,Cotswold 011H,,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01034790,Cotswold 011H,E02004625,Cotswold 011,E07000079,Cotswold
E01022385,Stroud 013A,26029.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022385,Stroud 013A,E02004663,Stroud 013,E07000082,Stroud
E01022386,Stroud 013B,29999.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022386,Stroud 013B,E02004663,Stroud 013,E07000082,Stroud
E01022388,Stroud 013D,19416.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022388,Stroud 013D,E02004663,Stroud 013,E07000082,Stroud
E01022387,Stroud 013C,25051.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022387,Stroud 013C,E02004663,Stroud 013,E07000082,Stroud
E01022382,Stroud 010B,31042.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022382,Stroud 010B,E02004660,Stroud 010,E07000082,Stroud
E01022381,Stroud 015A,29208.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022381,Stroud 015A,E02004665,Stroud 015,E07000082,Stroud
E01022416,Stroud 015C,21140.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022416,Stroud 015C,E02004665,Stroud 015,E07000082,Stroud
E01022417,Stroud 015D,32184.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022417,Stroud 015D,E02004665,Stroud 015,E07000082,Stroud
E01022418,Stroud 015E,29592.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022418,Stroud 015E,E02004665,Stroud 015,E07000082,Stroud
E01022415,Stroud 015B,31075.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022415,Stroud 015B,E02004665,Stroud 015,E07000082,Stroud
E01022373,Stroud 014B,21514.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022373,Stroud 014B,E02004664,Stroud 014,E07000082,Stroud
E01022374,Stroud 014C,19556.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022374,Stroud 014C,E02004664,Stroud 014,E07000082,Stroud
E01022372,Stroud 014A,26879.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022372,Stroud 014A,E02004664,Stroud 014,E07000082,Stroud
E01022375,Stroud 014D,9368.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022375,Stroud 014D,E02004664,Stroud 014,E07000082,Stroud
E01022360,Stroud 011B,30983.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022360,Stroud 011B,E02004661,Stroud 011,E07000082,Stroud
E01022370,Stroud 009A,29997.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022370,Stroud 009A,E02004659,Stroud 009,E07000082,Stroud
E01022350,Stroud 010A,31500.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022350,Stroud 010A,E02004660,Stroud 010,E07000082,Stroud
E01022405,Stroud 009C,19820.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022405,Stroud 009C,E02004659,Stroud 009,E07000082,Stroud
E01022407,Stroud 009E,21970.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022407,Stroud 009E,E02004659,Stroud 009,E07000082,Stroud
E01022406,Stroud 009D,31466.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022406,Stroud 009D,E02004659,Stroud 009,E07000082,Stroud
E01022404,Stroud 005E,26382.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022404,Stroud 005E,E02004655,Stroud 005,E07000082,Stroud
E01022355,Stroud 004A,23747.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022355,Stroud 004A,E02004654,Stroud 004,E07000082,Stroud
E01022400,Stroud 005A,18648.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022400,Stroud 005A,E02004655,Stroud 005,E07000082,Stroud
E01022357,Stroud 004C,26825.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022357,Stroud 004C,E02004654,Stroud 004,E07000082,Stroud
E01022401,Stroud 005B,20634.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022401,Stroud 005B,E02004655,Stroud 005,E07000082,Stroud
E01022217,Cotswold 011C,28186.0,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01022217,Cotswold 011C,E02004625,Cotswold 011,E07000079,Cotswold
E01022218,Cotswold 011D,16176.0,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01022218,Cotswold 011D,E02004625,Cotswold 011,E07000079,Cotswold
E01022384,Stroud 010D,27018.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022384,Stroud 010D,E02004660,Stroud 010,E07000082,Stroud
E01022383,Stroud 010C,15382.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022383,Stroud 010C,E02004660,Stroud 010,E07000082,Stroud
E01022366,Stroud 008A,32746.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022366,Stroud 008A,E02004658,Stroud 008,E07000082,Stroud
E01022368,Stroud 008C,30406.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022368,Stroud 008C,E02004658,Stroud 008,E07000082,Stroud
E01022409,Stroud 007E,22613.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022409,Stroud 007E,E02004657,Stroud 007,E07000082,Stroud
E01022369,Stroud 008D,27148.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022369,Stroud 008D,E02004658,Stroud 008,E07000082,Stroud
E01022410,Stroud 006C,17775.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022410,Stroud 006C,E02004656,Stroud 006,E07000082,Stroud
E01022391,Stroud 002C,21708.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022391,Stroud 002C,E02004652,Stroud 002,E07000082,Stroud
E01022220,Cotswold 011F,31147.0,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01022220,Cotswold 011F,E02004625,Cotswold 011,E07000079,Cotswold
E01034789,Cotswold 011G,,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01034789,Cotswold 011G,E02004625,Cotswold 011,E07000079,Cotswold
E01022193,Cotswold 008C,32483.0,Cotswold,Urban,NHS Gloucestershire Integrated Care Board,E01022193,Cotswold 008C,E02004622,Cotswold 008,E07000079,Cotswold
E01022219,Cotswold 011E,31773.0,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01022219,Cotswold 011E,E02004625,Cotswold 011,E07000079,Cotswold
