LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01022983,New Forest 022C,25238.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01022983,New Forest 022C,E02004800,New Forest 022,E07000091,New Forest
E01022994,New Forest 016A,31052.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01022994,New Forest 016A,E02004794,New Forest 016,E07000091,New Forest
E01023063,New Forest 016E,14949.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023063,New Forest 016E,E02004794,New Forest 016,E07000091,New Forest
E01023071,New Forest 012E,20704.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023071,New Forest 012E,E02004790,New Forest 012,E07000091,New Forest
E01023070,New Forest 012D,16788.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023070,New Forest 012D,E02004790,New Forest 012,E07000091,New Forest
E01023055,New Forest 020D,4926.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023055,New Forest 020D,E02004798,New Forest 020,E07000091,New Forest
E01022996,New Forest 016C,13619.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01022996,New Forest 016C,E02004794,New Forest 016,E07000091,New Forest
E01023025,New Forest 001G,18801.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023025,New Forest 001G,E02004779,New Forest 001,E07000091,New Forest
E01023066,New Forest 010D,24495.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023066,New Forest 010D,E02004788,New Forest 010,E07000091,New Forest
E01023026,New Forest 010A,14118.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023026,New Forest 010A,E02004788,New Forest 010,E07000091,New Forest
E01023012,New Forest 001B,21443.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023012,New Forest 001B,E02004779,New Forest 001,E07000091,New Forest
E01022993,New Forest 007B,9684.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01022993,New Forest 007B,E02004785,New Forest 007,E07000091,New Forest
E01023195,Test Valley 007B,24711.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023195,Test Valley 007B,E02004820,Test Valley 007,E07000093,Test Valley
E01023159,Test Valley 007A,20082.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023159,Test Valley 007A,E02004820,Test Valley 007,E07000093,Test Valley
E01023198,Test Valley 007D,21510.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023198,Test Valley 007D,E02004820,Test Valley 007,E07000093,Test Valley
E01023022,New Forest 001D,17425.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023022,New Forest 001D,E02004779,New Forest 001,E07000091,New Forest
E01023021,New Forest 001C,29818.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023021,New Forest 001C,E02004779,New Forest 001,E07000091,New Forest
E01023011,New Forest 001A,14020.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023011,New Forest 001A,E02004779,New Forest 001,E07000091,New Forest
E01023196,Test Valley 005E,19664.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023196,Test Valley 005E,E02004818,Test Valley 005,E07000093,Test Valley
E01023164,Test Valley 013C,21882.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023164,Test Valley 013C,E02004826,Test Valley 013,E07000093,Test Valley
E01023162,Test Valley 013A,17643.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023162,Test Valley 013A,E02004826,Test Valley 013,E07000093,Test Valley
E01023177,Test Valley 009C,20031.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023177,Test Valley 009C,E02004822,Test Valley 009,E07000093,Test Valley
E01023167,Test Valley 009B,22641.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023167,Test Valley 009B,E02004822,Test Valley 009,E07000093,Test Valley
E01023165,Test Valley 001A,20948.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023165,Test Valley 001A,E02004814,Test Valley 001,E07000093,Test Valley
E01023197,Test Valley 007C,26720.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023197,Test Valley 007C,E02004820,Test Valley 007,E07000093,Test Valley
