LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
E01032350,Wychavon 013D,19706.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032350,Wychavon 013D,E02006760,Wychavon 013,E07000238,Wychavon
E01014032,Herefordshire 023B,16442.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014032,Herefordshire 023B,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of"
E01014057,Herefordshire 023F,13591.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014057,Herefordshire 023F,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of"
E01014053,Herefordshire 023E,17137.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014053,Herefordshire 023E,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of"
E01014036,Herefordshire 019B,23031.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014036,Herefordshire 019B,E02002923,Herefordshire 019,E06000019,"Herefordshire, County of"
E01032412,Wychavon 019E,19976.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032412,Wychavon 019E,E02006766,Wychavon 019,E07000238,Wychavon
E01032348,Wychavon 019B,31283.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032348,Wychavon 019B,E02006766,Wychavon 019,E07000238,Wychavon
E01032353,Wychavon 018C,17214.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032353,Wychavon 018C,E02006765,Wychavon 018,E07000238,Wychavon
E01032351,Wychavon 018A,26437.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032351,Wychavon 018A,E02006765,Wychavon 018,E07000238,Wychavon
E01032341,Wychavon 013B,28111.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032341,Wychavon 013B,E02006760,Wychavon 013,E07000238,Wychavon
E01032390,Wychavon 011A,19778.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032390,Wychavon 011A,E02006758,Wychavon 011,E07000238,Wychavon
E01032374,Wychavon 018D,17220.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032374,Wychavon 018D,E02006765,Wychavon 018,E07000238,Wychavon
E01032352,Wychavon 018B,20544.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032352,Wychavon 018B,E02006765,Wychavon 018,E07000238,Wychavon
E01032198,Malvern Hills 011A,14350.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032198,Malvern Hills 011A,E02006720,Malvern Hills 011,E07000235,Malvern Hills
E01032211,Malvern Hills 008C,18069.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032211,Malvern Hills 008C,E02006717,Malvern Hills 008,E07000235,Malvern Hills
E01032413,Wychavon 019F,28887.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032413,Wychavon 019F,E02006766,Wychavon 019,E07000238,Wychavon
E01032347,Wychavon 019A,29301.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032347,Wychavon 019A,E02006766,Wychavon 019,E07000238,Wychavon
E01032372,Wychavon 019C,16805.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032372,Wychavon 019C,E02006766,Wychavon 019,E07000238,Wychavon
E01014058,Herefordshire 023G,18583.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014058,Herefordshire 023G,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of"
E01014054,Herefordshire 018D,16811.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014054,Herefordshire 018D,E02002922,Herefordshire 018,E06000019,"Herefordshire, County of"
E01014014,Herefordshire 018C,13636.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014014,Herefordshire 018C,E02002922,Herefordshire 018,E06000019,"Herefordshire, County of"
E01014031,Herefordshire 023A,13631.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014031,Herefordshire 023A,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of"
