LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01031991,Wiltshire 061A,14482.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031991,Wiltshire 061A,E02006676,Wiltshire 061,E06000054,Wiltshire,2006,74,102,169,70,50,67,61,78,99,134,169,186,160,154,164,113,78,78
E01032029,Wiltshire 061B,19898.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032029,Wiltshire 061B,E02006676,Wiltshire 061,E06000054,Wiltshire,1355,48,64,55,56,34,47,56,55,73,77,78,140,122,115,127,91,69,48
E01032082,Wiltshire 047E,17264.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032082,Wiltshire 047E,E02006695,Wiltshire 047,E06000054,Wiltshire,1199,31,44,70,60,37,38,26,43,60,63,94,136,126,92,76,71,65,67
E01032030,Wiltshire 061C,18147.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032030,Wiltshire 061C,E02006676,Wiltshire 061,E06000054,Wiltshire,1662,67,80,78,68,65,79,66,84,101,91,110,131,140,133,133,94,69,73
E01032076,Wiltshire 047C,18259.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032076,Wiltshire 047C,E02006695,Wiltshire 047,E06000054,Wiltshire,1221,45,59,60,37,32,36,55,63,59,69,102,96,94,87,120,98,54,55
E01031848,Wiltshire 028C,18624.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031848,Wiltshire 028C,E02006639,Wiltshire 028,E06000054,Wiltshire,2157,70,86,82,92,100,129,151,156,143,139,188,197,141,119,149,118,58,39
E01032031,Wiltshire 061D,19137.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032031,Wiltshire 061D,E02006676,Wiltshire 061,E06000054,Wiltshire,1139,40,51,60,51,26,34,33,46,54,63,76,111,124,91,117,72,40,50
E01032004,Wiltshire 054B,15668.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032004,Wiltshire 054B,E02006669,Wiltshire 054,E06000054,Wiltshire,2280,73,112,124,99,81,88,83,107,113,144,189,219,190,172,184,139,97,66
E01032075,Wiltshire 047B,18849.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032075,Wiltshire 047B,E02006695,Wiltshire 047,E06000054,Wiltshire,1306,55,57,64,56,42,45,64,54,59,73,111,114,108,86,117,88,55,58
E01031858,Wiltshire 034C,29303.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031858,Wiltshire 034C,E02006641,Wiltshire 034,E06000054,Wiltshire,1862,60,69,176,238,60,64,73,70,92,111,151,128,145,99,156,84,40,46
E01031872,Wiltshire 028D,21773.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01031872,Wiltshire 028D,E02006639,Wiltshire 028,E06000054,Wiltshire,1543,54,73,80,84,68,51,53,57,78,115,122,126,148,103,121,101,61,48
E01032689,Wiltshire 025F,26092.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032689,Wiltshire 025F,E02006637,Wiltshire 025,E06000054,Wiltshire,1278,50,66,78,84,54,66,63,55,76,96,118,94,80,68,95,64,41,30
E01032010,Wiltshire 050A,15092.0,Wiltshire,Rural,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032010,Wiltshire 050A,E02006665,Wiltshire 050,E06000054,Wiltshire,2139,78,108,96,81,62,63,84,76,103,101,160,201,189,202,198,141,91,105
E01032106,Wiltshire 044B,28539.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032106,Wiltshire 044B,E02006694,Wiltshire 044,E06000054,Wiltshire,1499,43,52,70,65,40,44,50,73,51,87,98,122,120,90,159,147,82,106
E01032109,Wiltshire 044C,18304.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032109,Wiltshire 044C,E02006694,Wiltshire 044,E06000054,Wiltshire,1430,65,51,73,64,67,82,83,81,71,98,114,115,130,93,88,73,35,47
E01032105,Wiltshire 042B,28952.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032105,Wiltshire 042B,E02006692,Wiltshire 042,E06000054,Wiltshire,1454,55,58,54,59,60,58,71,60,55,70,109,126,119,119,129,106,63,83
E01032103,Wiltshire 044A,17347.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032103,Wiltshire 044A,E02006694,Wiltshire 044,E06000054,Wiltshire,1698,73,68,45,49,90,124,133,88,80,97,119,129,118,100,129,95,75,86
E01032104,Wiltshire 042A,10346.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032104,Wiltshire 042A,E02006692,Wiltshire 042,E06000054,Wiltshire,1529,67,88,105,110,160,138,92,71,79,103,87,97,80,65,74,46,34,33
E01032107,Wiltshire 042C,26286.0,Wiltshire,Urban,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E01032107,Wiltshire 042C,E02006692,Wiltshire 042,E06000054,Wiltshire,1305,162,156,95,50,89,114,190,186,115,57,48,19,6,5,9,2,1,1
