LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01028715,Vale of White Horse 016F,25732.0,Vale of White Horse,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028715,Vale of White Horse 016F,E02006886,Vale of White Horse 016,E07000180,Vale of White Horse,2351,188,136,147,121,100,163,194,152,154,145,169,164,127,87,114,89,59,42
E01016301,West Berkshire 018B,19275.0,West Berkshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01016301,West Berkshire 018B,E02003384,West Berkshire 018,E06000037,West Berkshire,2038,80,103,113,97,76,67,86,86,96,150,187,189,173,135,125,106,87,82
E01016298,West Berkshire 010C,25606.0,West Berkshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01016298,West Berkshire 010C,E02003376,West Berkshire 010,E06000037,West Berkshire,1187,70,56,33,27,53,79,70,62,69,69,77,111,81,76,57,68,52,77
E01016304,West Berkshire 002B,17592.0,West Berkshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01016304,West Berkshire 002B,E02003368,West Berkshire 002,E06000037,West Berkshire,1612,82,71,92,84,68,82,86,91,88,123,125,128,113,116,111,89,37,26
E01016305,West Berkshire 002C,20736.0,West Berkshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01016305,West Berkshire 002C,E02003368,West Berkshire 002,E06000037,West Berkshire,1254,52,64,50,38,69,82,75,62,63,74,106,109,97,73,90,62,45,43
E01028713,Vale of White Horse 016E,20797.0,Vale of White Horse,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028713,Vale of White Horse 016E,E02006886,Vale of White Horse 016,E07000180,Vale of White Horse,2558,116,144,180,117,81,86,117,133,157,202,214,227,203,172,169,135,66,39
E01028776,West Oxfordshire 003B,20441.0,West Oxfordshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028776,West Oxfordshire 003B,E02005995,West Oxfordshire 003,E07000181,West Oxfordshire,1951,67,87,103,114,78,49,84,109,97,125,160,178,163,161,127,110,68,71
E01028762,West Oxfordshire 012A,18421.0,West Oxfordshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028762,West Oxfordshire 012A,E02006004,West Oxfordshire 012,E07000181,West Oxfordshire,1825,67,91,102,105,81,63,76,75,105,153,197,171,172,119,104,74,43,27
E01028767,West Oxfordshire 012C,25924.0,West Oxfordshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028767,West Oxfordshire 012C,E02006004,West Oxfordshire 012,E07000181,West Oxfordshire,1977,62,76,115,115,52,72,96,74,88,100,116,150,170,143,183,155,102,108
E01028798,West Oxfordshire 003C,28496.0,West Oxfordshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028798,West Oxfordshire 003C,E02005995,West Oxfordshire 003,E07000181,West Oxfordshire,2246,92,122,155,121,83,61,88,121,137,175,163,172,145,133,161,130,81,106
E01028796,West Oxfordshire 002B,19444.0,West Oxfordshire,Rural,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E01028796,West Oxfordshire 002B,E02005994,West Oxfordshire 002,E07000181,West Oxfordshire,1433,66,61,143,142,55,61,66,59,81,96,90,92,88,69,71,62,61,70
