LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,18033.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020484,Dorset 042G,E02004268,Dorset 042,E06000059,Dorset,1420,43,69,74,86,62,45,69,74,63,84,107,112,124,104,112,79,62,51
E01020481,Dorset 042D,21081.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020481,Dorset 042D,E02004268,Dorset 042,E06000059,Dorset,1324,39,32,40,31,52,47,52,45,51,57,68,116,158,131,159,104,60,82
E01020482,Dorset 042E,18607.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020482,Dorset 042E,E02004268,Dorset 042,E06000059,Dorset,1558,69,76,73,47,66,76,102,81,88,88,91,127,148,102,130,93,49,52
E01020479,Dorset 042B,22959.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020479,Dorset 042B,E02004268,Dorset 042,E06000059,Dorset,1131,33,32,32,46,33,36,36,28,29,50,50,76,77,104,105,118,93,153
E01020478,Dorset 042A,26137.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020478,Dorset 042A,E02004268,Dorset 042,E06000059,Dorset,1110,37,44,51,58,47,32,40,49,56,55,81,103,91,88,93,82,48,55
E01020480,Dorset 042C,21774.0,Dorset,Rural,NHS Dorset Integrated Care Board,E01020480,Dorset 042C,E02004268,Dorset 042,E06000059,Dorset,1697,36,55,50,51,49,51,45,47,54,73,82,124,189,169,196,186,106,134
E01015406,"Bournemouth, Christchurch and Poole 048E",26773.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015406,"Bournemouth, Christchurch and Poole 048E",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole",1526,52,43,54,55,57,62,55,64,77,90,111,119,138,114,128,114,98,95
E01015459,"Bournemouth, Christchurch and Poole 047E",31884.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015459,"Bournemouth, Christchurch and Poole 047E",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole",1784,51,88,110,78,45,27,47,73,96,118,135,134,168,145,154,117,83,115
E01015404,"Bournemouth, Christchurch and Poole 048C",30965.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015404,"Bournemouth, Christchurch and Poole 048C",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole",1777,59,47,74,69,47,39,47,58,72,77,112,134,123,142,220,192,122,143
E01015455,"Bournemouth, Christchurch and Poole 047D",32379.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015455,"Bournemouth, Christchurch and Poole 047D",E02003210,"Bournemouth, Christchurch and Poole 047",E06000058,"Bournemouth, Christchurch and Poole",1913,67,113,111,90,40,54,64,91,117,116,142,143,135,119,166,129,106,110
E01015370,"Bournemouth, Christchurch and Poole 045D",22895.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015370,"Bournemouth, Christchurch and Poole 045D",E02006885,"Bournemouth, Christchurch and Poole 045",E06000058,"Bournemouth, Christchurch and Poole",1620,54,38,50,38,93,173,135,101,106,115,100,124,110,95,96,61,50,81
E01015405,"Bournemouth, Christchurch and Poole 048D",29125.0,"Bournemouth, Christchurch and Poole",Urban,NHS Dorset Integrated Care Board,E01015405,"Bournemouth, Christchurch and Poole 048D",E02003211,"Bournemouth, Christchurch and Poole 048",E06000058,"Bournemouth, Christchurch and Poole",1681,50,61,69,58,43,37,42,66,71,101,132,133,135,150,191,121,106,115
