LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01034790,Cotswold 011H,,Cotswold,Rural,NHS Gloucestershire Integrated Care Board,E01034790,Cotswold 011H,E02004625,Cotswold 011,E07000079,Cotswold,1528,59,73,89,101,62,67,70,77,73,98,107,139,138,109,106,85,47,28
E01022385,Stroud 013A,26029.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022385,Stroud 013A,E02004663,Stroud 013,E07000082,Stroud,1630,50,97,128,88,67,47,53,91,88,137,130,132,134,114,120,81,48,25
E01022386,Stroud 013B,29999.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022386,Stroud 013B,E02004663,Stroud 013,E07000082,Stroud,1543,59,60,59,47,38,46,65,76,67,99,112,127,133,150,116,92,73,124
E01022388,Stroud 013D,19416.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022388,Stroud 013D,E02004663,Stroud 013,E07000082,Stroud,1799,89,122,127,95,79,80,119,103,137,115,140,109,104,97,135,83,34,31
E01022387,Stroud 013C,25051.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022387,Stroud 013C,E02004663,Stroud 013,E07000082,Stroud,1529,68,92,77,64,60,88,90,95,83,110,130,140,120,95,85,56,35,41
E01022382,Stroud 010B,31042.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board,E01022382,Stroud 010B,E02004660,Stroud 010,E07000082,Stroud,1621,50,73,119,87,33,30,39,60,77,113,127,102,117,112,156,118,99,109
E01022381,Stroud 015A,29208.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022381,Stroud 015A,E02004665,Stroud 015,E07000082,Stroud,2219,104,144,157,154,87,99,97,99,149,172,185,174,169,117,123,102,54,33
E01022416,Stroud 015C,21140.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022416,Stroud 015C,E02004665,Stroud 015,E07000082,Stroud,1524,83,112,107,84,70,68,95,92,110,98,119,103,77,85,91,64,42,24
E01022417,Stroud 015D,32184.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022417,Stroud 015D,E02004665,Stroud 015,E07000082,Stroud,1787,81,94,107,92,63,73,99,100,96,119,111,130,149,122,129,93,65,64
E01022418,Stroud 015E,29592.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board,E01022418,Stroud 015E,E02004665,Stroud 015,E07000082,Stroud,1612,50,58,112,87,63,76,75,70,85,140,127,102,109,94,116,112,56,80
