LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01022983,New Forest 022C,25238.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01022983,New Forest 022C,E02004800,New Forest 022,E07000091,New Forest,1605,28,48,44,49,58,35,44,42,50,74,96,146,178,149,186,161,106,111
E01022994,New Forest 016A,31052.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01022994,New Forest 016A,E02004794,New Forest 016,E07000091,New Forest,1510,57,70,86,69,44,35,41,66,80,65,86,113,141,153,158,113,63,70
E01023063,New Forest 016E,14949.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023063,New Forest 016E,E02004794,New Forest 016,E07000091,New Forest,1486,71,95,111,83,97,58,92,76,88,82,101,131,100,82,91,56,37,35
E01023071,New Forest 012E,20704.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023071,New Forest 012E,E02004790,New Forest 012,E07000091,New Forest,1476,90,82,68,66,66,132,102,89,83,76,126,119,89,83,84,46,40,35
E01023070,New Forest 012D,16788.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023070,New Forest 012D,E02004790,New Forest 012,E07000091,New Forest,1824,85,84,60,64,97,120,82,95,100,95,123,100,102,88,136,100,111,182
E01023055,New Forest 020D,4926.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023055,New Forest 020D,E02004798,New Forest 020,E07000091,New Forest,1329,72,85,120,85,79,78,93,71,66,99,92,104,71,70,56,29,30,29
E01022996,New Forest 016C,13619.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01022996,New Forest 016C,E02004794,New Forest 016,E07000091,New Forest,1190,31,50,61,60,43,31,44,52,60,70,117,111,90,91,110,67,35,67
E01023025,New Forest 001G,18801.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023025,New Forest 001G,E02004779,New Forest 001,E07000091,New Forest,1306,27,45,52,50,39,31,32,31,46,73,104,161,133,134,119,112,53,64
E01023066,New Forest 010D,24495.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board,E01023066,New Forest 010D,E02004788,New Forest 010,E07000091,New Forest,1707,65,75,103,113,59,52,62,60,101,107,134,139,122,110,122,121,81,81
E01023026,New Forest 010A,14118.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board,E01023026,New Forest 010A,E02004788,New Forest 010,E07000091,New Forest,1168,25,41,59,69,40,39,32,37,43,66,105,117,127,107,110,62,50,39
