LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01032350,Wychavon 013D,19706.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032350,Wychavon 013D,E02006760,Wychavon 013,E07000238,Wychavon,1191,45,65,73,57,36,44,62,66,72,75,90,95,83,90,88,61,52,37
E01014032,Herefordshire 023B,16442.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014032,Herefordshire 023B,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of",1507,50,60,74,51,60,43,56,67,81,77,104,147,146,137,134,96,64,60
E01014057,Herefordshire 023F,13591.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014057,Herefordshire 023F,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of",1898,96,91,89,78,68,84,107,93,70,96,147,187,149,143,154,113,85,48
E01014053,Herefordshire 023E,17137.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014053,Herefordshire 023E,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of",1782,61,90,81,72,64,77,70,75,90,110,124,159,170,154,143,117,55,70
E01014036,Herefordshire 019B,23031.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014036,Herefordshire 019B,E02002923,Herefordshire 019,E06000019,"Herefordshire, County of",1677,60,64,59,72,51,71,80,74,79,86,120,149,123,112,142,125,80,130
E01032412,Wychavon 019E,19976.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032412,Wychavon 019E,E02006766,Wychavon 019,E07000238,Wychavon,1245,36,50,68,64,34,42,45,49,59,84,111,111,97,110,115,86,44,40
E01032348,Wychavon 019B,31283.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032348,Wychavon 019B,E02006766,Wychavon 019,E07000238,Wychavon,1351,45,68,82,67,50,30,46,66,70,82,120,103,126,99,125,65,61,46
E01032353,Wychavon 018C,17214.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032353,Wychavon 018C,E02006765,Wychavon 018,E07000238,Wychavon,1608,74,88,78,57,70,100,83,85,58,87,116,125,102,103,118,94,91,79
E01032351,Wychavon 018A,26437.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032351,Wychavon 018A,E02006765,Wychavon 018,E07000238,Wychavon,1883,38,47,49,59,32,44,46,53,59,72,116,138,193,207,219,189,148,174
E01032341,Wychavon 013B,28111.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032341,Wychavon 013B,E02006760,Wychavon 013,E07000238,Wychavon,1384,26,57,78,50,41,44,73,46,62,86,106,133,142,125,127,93,61,34
E01032390,Wychavon 011A,19778.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032390,Wychavon 011A,E02006758,Wychavon 011,E07000238,Wychavon,1694,92,102,90,84,62,71,95,97,87,100,140,162,119,105,132,78,46,32
E01032374,Wychavon 018D,17220.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032374,Wychavon 018D,E02006765,Wychavon 018,E07000238,Wychavon,1354,54,77,70,64,57,55,61,68,76,78,127,117,108,87,88,70,57,40
E01032352,Wychavon 018B,20544.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032352,Wychavon 018B,E02006765,Wychavon 018,E07000238,Wychavon,1478,43,63,57,69,49,52,70,49,67,89,122,131,131,132,139,104,64,47
E01032198,Malvern Hills 011A,14350.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032198,Malvern Hills 011A,E02006720,Malvern Hills 011,E07000235,Malvern Hills,2159,54,65,140,149,80,74,63,77,70,149,173,212,199,179,175,124,87,89
E01032211,Malvern Hills 008C,18069.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032211,Malvern Hills 008C,E02006717,Malvern Hills 008,E07000235,Malvern Hills,1888,60,66,101,78,51,66,58,67,91,102,144,196,151,160,152,143,92,110
E01032413,Wychavon 019F,28887.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032413,Wychavon 019F,E02006766,Wychavon 019,E07000238,Wychavon,1148,22,49,71,48,47,38,42,35,51,63,96,105,97,109,100,83,48,44
E01032347,Wychavon 019A,29301.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032347,Wychavon 019A,E02006766,Wychavon 019,E07000238,Wychavon,1306,52,59,88,78,36,51,63,59,75,85,98,119,90,91,120,68,39,35
E01032372,Wychavon 019C,16805.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01032372,Wychavon 019C,E02006766,Wychavon 019,E07000238,Wychavon,1479,51,55,84,82,47,39,47,54,59,115,128,138,134,120,124,101,66,35
E01014058,Herefordshire 023G,18583.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014058,Herefordshire 023G,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of",1630,31,61,65,64,60,44,52,43,75,100,140,165,164,167,146,126,73,54
E01014054,Herefordshire 018D,16811.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014054,Herefordshire 018D,E02002922,Herefordshire 018,E06000019,"Herefordshire, County of",1324,45,51,54,63,49,61,44,59,49,81,114,110,129,118,115,82,49,51
E01014014,Herefordshire 018C,13636.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014014,Herefordshire 018C,E02002922,Herefordshire 018,E06000019,"Herefordshire, County of",1851,62,68,105,100,77,81,79,59,89,114,167,187,157,153,155,92,64,42
E01014031,Herefordshire 023A,13631.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board,E01014031,Herefordshire 023A,E02002927,Herefordshire 023,E06000019,"Herefordshire, County of",1586,44,65,85,83,73,52,47,63,73,102,145,164,125,133,115,89,63,65
