LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01029174,South Somerset 023C,12766.0,South Somerset,Urban,NHS Somerset Integrated Care Board,E01029174,South Somerset 023C,E02006097,South Somerset 023,E06000066,,1079,36,40,47,47,48,53,62,52,63,63,76,67,74,62,97,75,60,57
E01029175,South Somerset 023D,8248.0,South Somerset,Urban,NHS Somerset Integrated Care Board,E01029175,South Somerset 023D,E02006097,South Somerset 023,E06000066,,2261,135,135,171,140,125,116,160,152,150,148,150,124,127,113,94,77,60,84
E01029177,South Somerset 022E,5092.0,South Somerset,Urban,NHS Somerset Integrated Care Board,E01029177,South Somerset 022E,E02006096,South Somerset 022,E06000066,,1295,93,58,78,60,57,78,78,73,76,71,93,95,66,70,93,74,42,40
E01029171,South Somerset 023B,10538.0,South Somerset,Urban,NHS Somerset Integrated Care Board,E01029171,South Somerset 023B,E02006097,South Somerset 023,E06000066,,2326,116,107,112,120,102,153,111,140,128,130,157,164,135,151,160,139,92,109
E01035132,Somerset West and Taunton 017F,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01035132,Somerset West and Taunton 017F,E02006111,Somerset West and Taunton 017,E06000066,,1462,64,63,82,89,54,74,62,68,82,95,127,131,112,104,111,72,36,36
E01029261,Somerset West and Taunton 019A,16366.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029261,Somerset West and Taunton 019A,E02006112,Somerset West and Taunton 019,E06000066,,2285,83,88,123,111,82,78,79,101,101,144,196,249,225,171,168,117,89,80
E01029270,Somerset West and Taunton 019B,17682.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029270,Somerset West and Taunton 019B,E02006112,Somerset West and Taunton 019,E06000066,,2245,74,90,108,89,84,83,99,99,101,123,176,214,205,168,202,147,96,87
E01029308,Somerset West and Taunton 016E,30876.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029308,Somerset West and Taunton 016E,E02006109,Somerset West and Taunton 016,E06000066,,2088,98,128,138,114,66,56,79,100,126,140,138,154,128,133,145,146,95,104
E01029295,Somerset West and Taunton 019C,29757.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029295,Somerset West and Taunton 019C,E02006112,Somerset West and Taunton 019,E06000066,,1564,58,70,76,66,63,104,74,77,83,108,118,121,122,127,116,84,50,47
E01029263,Somerset West and Taunton 016A,28606.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029263,Somerset West and Taunton 016A,E02006109,Somerset West and Taunton 016,E06000066,,1407,78,91,118,76,53,68,94,86,85,96,100,98,80,73,79,56,43,33
E01029303,Somerset West and Taunton 015E,31033.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029303,Somerset West and Taunton 015E,E02006108,Somerset West and Taunton 015,E06000066,,1891,69,89,107,101,56,82,86,67,78,111,126,147,119,131,118,123,110,171
E01029296,Somerset West and Taunton 019D,27127.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029296,Somerset West and Taunton 019D,E02006112,Somerset West and Taunton 019,E06000066,,2196,67,85,188,305,61,91,94,110,119,127,131,152,130,139,131,92,65,109
E01029266,Somerset West and Taunton 015A,19993.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029266,Somerset West and Taunton 015A,E02006108,Somerset West and Taunton 015,E06000066,,1301,50,63,84,100,37,71,78,62,60,69,65,83,72,72,97,79,67,92
E01029275,Somerset West and Taunton 009D,17839.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029275,Somerset West and Taunton 009D,E02006103,Somerset West and Taunton 009,E06000066,,1279,60,59,53,65,49,43,49,41,52,65,92,106,111,113,101,93,54,73
E01029283,Somerset West and Taunton 014C,13807.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029283,Somerset West and Taunton 014C,E02006107,Somerset West and Taunton 014,E06000066,,1733,76,85,101,96,58,100,105,108,94,133,115,136,126,134,121,64,42,39
E01029315,Somerset West and Taunton 017D,29355.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029315,Somerset West and Taunton 017D,E02006111,Somerset West and Taunton 017,E06000066,,1377,32,43,65,64,51,50,31,41,63,73,117,99,95,102,153,138,82,78
E01029269,Somerset West and Taunton 017B,18481.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029269,Somerset West and Taunton 017B,E02006111,Somerset West and Taunton 017,E06000066,,2179,56,83,82,102,78,81,81,103,98,140,155,165,185,190,200,135,108,137
E01029316,Somerset West and Taunton 018D,18967.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029316,Somerset West and Taunton 018D,E02006110,Somerset West and Taunton 018,E06000066,,1710,60,60,61,92,77,101,91,73,84,99,132,119,119,139,123,112,82,86
E01029310,Somerset West and Taunton 017C,27240.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029310,Somerset West and Taunton 017C,E02006111,Somerset West and Taunton 017,E06000066,,1913,44,82,108,135,80,87,69,77,74,106,146,118,109,127,186,160,103,102
E01035130,Somerset West and Taunton 018F,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01035130,Somerset West and Taunton 018F,E02006110,Somerset West and Taunton 018,E06000066,,1345,72,80,80,63,73,78,90,58,75,87,100,92,87,75,78,52,50,55
E01035131,Somerset West and Taunton 017E,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01035131,Somerset West and Taunton 017E,E02006111,Somerset West and Taunton 017,E06000066,,1391,74,108,97,77,67,72,83,73,81,85,105,104,95,86,68,47,28,41
E01029312,Somerset West and Taunton 018B,22691.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029312,Somerset West and Taunton 018B,E02006110,Somerset West and Taunton 018,E06000066,,1368,55,76,87,84,62,54,58,89,87,93,99,108,94,85,90,61,38,48
E01035129,Somerset West and Taunton 018E,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01035129,Somerset West and Taunton 018E,E02006110,Somerset West and Taunton 018,E06000066,,1994,162,194,143,85,79,151,185,181,127,120,138,87,88,76,84,50,30,14
E01029311,Somerset West and Taunton 018A,5715.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board,E01029311,Somerset West and Taunton 018A,E02006110,Somerset West and Taunton 018,E06000066,,2488,191,183,138,113,134,162,203,208,135,129,159,175,161,111,101,63,61,61
E01029172,South Somerset 022B,29797.0,South Somerset,Urban,NHS Somerset Integrated Care Board,E01029172,South Somerset 022B,E02006096,South Somerset 022,E06000066,,1497,69,66,72,68,72,72,58,90,71,91,116,128,112,101,134,76,61,40
E01029153,South Somerset 024A,16379.0,South Somerset,Rural,NHS Somerset Integrated Care Board,E01029153,South Somerset 024A,E02006098,South Somerset 024,E06000066,,2392,71,90,120,89,58,78,86,95,101,135,164,251,236,225,214,172,113,94
E01029209,South Somerset 019E,24908.0,South Somerset,Rural,NHS Somerset Integrated Care Board,E01029209,South Somerset 019E,E02006093,South Somerset 019,E06000066,,1340,52,54,74,54,43,48,49,59,63,69,108,125,120,99,111,92,67,53
E01029271,Somerset West and Taunton 009A,17700.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029271,Somerset West and Taunton 009A,E02006103,Somerset West and Taunton 009,E06000066,,1902,70,90,118,103,57,47,62,104,117,112,158,135,142,151,178,124,72,62
E01029274,Somerset West and Taunton 009C,23567.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board,E01029274,Somerset West and Taunton 009C,E02006103,Somerset West and Taunton 009,E06000066,,1851,64,89,113,106,61,66,77,90,108,105,133,156,130,144,157,119,72,61
E01029144,Sedgemoor 014E,15026.0,Sedgemoor,Rural,NHS Somerset Integrated Care Board,E01029144,Sedgemoor 014E,E02006074,Sedgemoor 014,E06000066,,1233,34,49,55,70,63,52,52,52,50,69,129,140,113,79,105,53,32,36
E01035120,Sedgemoor 014K,,Sedgemoor,Urban,NHS Somerset Integrated Care Board,E01035120,Sedgemoor 014K,E02006074,Sedgemoor 014,E06000066,,1553,80,82,89,71,68,82,96,87,83,90,115,142,115,85,126,68,47,27
