lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1469.7,44.5,71.41,76.59,89.01,64.17,46.58,71.41,76.59,65.2,86.94,110.74,115.92,128.34,107.64,115.92,81.76,64.17,52.78
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1370.34,40.36,33.12,41.4,32.08,53.82,48.64,53.82,46.58,52.78,59.0,70.38,120.06,163.53,135.58,164.56,107.64,62.1,84.87
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1612.53,71.41,78.66,75.55,48.64,68.31,78.66,105.57,83.84,91.08,91.08,94.18,131.44,153.18,105.57,134.55,96.26,50.72,53.82
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1170.58,34.15,33.12,33.12,47.61,34.15,37.26,37.26,28.98,30.01,51.75,51.75,78.66,79.69,107.64,108.68,122.13,96.26,158.35
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1148.85,38.29,45.54,52.78,60.03,48.64,33.12,41.4,50.72,57.96,56.92,83.84,106.6,94.18,91.08,96.26,84.87,49.68,56.92
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1756.39,37.26,56.92,51.75,52.78,50.72,52.78,46.58,48.64,55.89,75.55,84.87,128.34,195.61,174.92,202.86,192.51,109.71,138.69
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1579.41,53.82,44.5,55.89,56.92,59.0,64.17,56.92,66.24,79.69,93.15,114.88,123.16,142.83,117.99,132.48,117.99,101.43,98.32
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1846.44,52.78,91.08,113.85,80.73,46.58,27.94,48.64,75.55,99.36,122.13,139.72,138.69,173.88,150.07,159.39,121.09,85.9,119.02
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1839.2,61.06,48.64,76.59,71.41,48.64,40.36,48.64,60.03,74.52,79.69,115.92,138.69,127.3,146.97,227.7,198.72,126.27,148.0
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,1979.96,69.34,116.95,114.88,93.15,41.4,55.89,66.24,94.18,121.09,120.06,146.97,148.0,139.72,123.16,171.81,133.51,109.71,113.85
E01015370,"Bournemouth, Christchurch and Poole 045D",NHS Dorset Integrated Care Board,1676.7,55.89,39.33,51.75,39.33,96.26,179.05,139.72,104.54,109.71,119.02,103.5,128.34,113.85,98.32,99.36,63.14,51.75,83.84
E01015405,"Bournemouth, Christchurch and Poole 048D",NHS Dorset Integrated Care Board,1739.83,51.75,63.14,71.41,60.03,44.5,38.29,43.47,68.31,73.48,104.54,136.62,137.66,139.72,155.25,197.68,125.23,109.71,119.02
E01015368,"Bournemouth, Christchurch and Poole 045B",NHS Dorset Integrated Care Board,1800.9,42.43,39.33,41.4,36.22,68.31,150.07,114.88,94.18,113.85,96.26,92.12,114.88,109.71,137.66,170.77,142.83,98.32,137.66
E01015367,"Bournemouth, Christchurch and Poole 045A",NHS Dorset Integrated Care Board,2539.89,102.46,82.8,67.27,65.2,254.61,339.48,338.44,284.62,182.16,152.14,164.56,132.48,104.54,82.8,93.15,45.54,23.8,23.8
E01015369,"Bournemouth, Christchurch and Poole 045C",NHS Dorset Integrated Care Board,1700.5,60.03,38.29,34.15,20.7,67.27,154.21,127.3,132.48,124.2,94.18,96.26,104.54,101.43,98.32,131.44,117.99,93.15,104.54
E01015403,"Bournemouth, Christchurch and Poole 048B",NHS Dorset Integrated Care Board,1781.24,41.4,13.45,14.49,14.49,53.82,68.31,71.41,67.27,45.54,61.06,74.52,85.9,106.6,131.44,221.49,250.47,187.33,272.2
E01034274,"Bournemouth, Christchurch and Poole 038H",NHS Dorset Integrated Care Board,1631.16,46.58,33.12,25.87,60.03,332.23,302.22,240.12,141.79,89.01,60.03,79.69,49.68,42.43,51.75,25.87,20.7,11.38,18.63
E01034278,"Bournemouth, Christchurch and Poole 041F",NHS Dorset Integrated Care Board,2080.35,50.72,38.29,28.98,395.37,567.18,199.76,179.05,114.88,90.04,62.1,60.03,57.96,47.61,44.5,61.06,32.08,16.56,34.15
E01015291,"Bournemouth, Christchurch and Poole 041D",NHS Dorset Integrated Care Board,1958.22,64.17,48.64,37.26,47.61,110.74,143.86,156.28,145.94,134.55,75.55,83.84,112.82,125.23,129.38,137.66,142.83,121.09,140.76
E01015371,"Bournemouth, Christchurch and Poole 040A",NHS Dorset Integrated Care Board,1420.02,65.2,43.47,24.84,32.08,103.5,148.0,156.28,123.16,139.72,91.08,108.68,91.08,101.43,61.06,40.36,39.33,27.94,22.77
E01015458,"Bournemouth, Christchurch and Poole 043A",NHS Dorset Integrated Care Board,1606.32,53.82,64.17,122.13,94.18,43.47,27.94,44.5,63.14,106.6,127.3,123.16,122.13,108.68,109.71,131.44,119.02,70.38,74.52
E01015452,"Bournemouth, Christchurch and Poole 047A",NHS Dorset Integrated Care Board,2168.32,93.15,131.44,124.2,98.32,73.48,93.15,101.43,115.92,140.76,145.94,166.64,144.9,142.83,110.74,125.23,128.34,99.36,132.48
E01015464,"Bournemouth, Christchurch and Poole 043F",NHS Dorset Integrated Care Board,1692.22,72.45,90.04,83.84,83.84,49.68,55.89,53.82,78.66,106.6,133.51,165.6,157.32,126.27,115.92,120.06,92.12,62.1,44.5
E01015402,"Bournemouth, Christchurch and Poole 048A",NHS Dorset Integrated Care Board,1898.19,56.92,63.14,66.24,76.59,80.73,97.29,97.29,95.22,91.08,106.6,134.55,136.62,116.95,125.23,150.07,112.82,70.38,220.46
E01034281,"Bournemouth, Christchurch and Poole 044G",NHS Dorset Integrated Care Board,1208.88,48.64,32.08,19.66,26.91,62.1,91.08,104.54,65.2,44.5,42.43,45.54,51.75,40.36,71.41,97.29,93.15,103.5,168.7
E01015463,"Bournemouth, Christchurch and Poole 043E",NHS Dorset Integrated Care Board,1711.89,51.75,113.85,93.15,62.1,53.82,101.43,73.48,113.85,120.06,131.44,150.07,144.9,117.99,108.68,114.88,67.27,47.61,45.54
E01015453,"Bournemouth, Christchurch and Poole 047B",NHS Dorset Integrated Care Board,1998.58,110.74,97.29,90.04,62.1,80.73,132.48,164.56,151.11,157.32,120.06,144.9,145.94,102.46,105.57,119.02,90.04,61.06,63.14
E01015466,"Bournemouth, Christchurch and Poole 044B",NHS Dorset Integrated Care Board,1841.26,73.48,81.76,87.98,81.76,90.04,109.71,132.48,92.12,130.41,107.64,122.13,135.58,116.95,94.18,114.88,91.08,86.94,92.12
E01015462,"Bournemouth, Christchurch and Poole 043D",NHS Dorset Integrated Care Board,1749.15,90.04,104.54,124.2,117.99,91.08,95.22,121.09,131.44,136.62,148.0,152.14,144.9,83.84,74.52,60.03,37.26,15.52,20.7
E01015454,"Bournemouth, Christchurch and Poole 047C",NHS Dorset Integrated Care Board,2151.76,130.41,129.38,100.4,75.55,120.06,152.14,196.65,188.37,159.39,128.34,126.27,154.21,95.22,82.8,84.87,84.87,55.89,86.94
E01033285,"Bournemouth, Christchurch and Poole 038D",NHS Dorset Integrated Care Board,1383.79,62.1,47.61,39.33,53.82,165.6,219.42,180.09,156.28,123.16,79.69,63.14,43.47,35.19,35.19,30.01,27.94,12.42,9.32
E01015372,"Bournemouth, Christchurch and Poole 040B",NHS Dorset Integrated Care Board,2103.12,77.62,65.2,42.43,32.08,98.32,195.61,182.16,180.09,131.44,101.43,79.69,93.15,87.98,102.46,133.51,140.76,126.27,232.87
E01034277,"Bournemouth, Christchurch and Poole 041E",NHS Dorset Integrated Care Board,2526.44,56.92,44.5,30.01,842.49,582.7,198.72,184.23,130.41,98.32,72.45,61.06,44.5,52.78,30.01,25.87,34.15,17.6,19.66
E01033242,"Bournemouth, Christchurch and Poole 038C",NHS Dorset Integrated Care Board,1055.7,43.47,36.22,22.77,15.52,64.17,156.28,131.44,108.68,96.26,65.2,67.27,53.82,37.26,40.36,27.94,22.77,22.77,43.47
E01034273,"Bournemouth, Christchurch and Poole 038G",NHS Dorset Integrated Care Board,1273.05,43.47,27.94,25.87,40.36,204.93,302.22,171.81,104.54,81.76,53.82,52.78,42.43,35.19,12.42,23.8,19.66,10.35,19.66
E01015290,"Bournemouth, Christchurch and Poole 041C",NHS Dorset Integrated Care Board,2893.86,97.29,85.9,43.47,450.22,546.48,272.2,263.92,195.61,173.88,136.62,109.71,101.43,78.66,79.69,75.55,59.0,41.4,82.8
E01033286,"Bournemouth, Christchurch and Poole 040C",NHS Dorset Integrated Care Board,1173.69,50.72,49.68,30.01,28.98,81.76,114.88,129.38,119.02,80.73,77.62,70.38,59.0,53.82,56.92,42.43,54.86,39.33,34.15
E01034272,"Bournemouth, Christchurch and Poole 038F",NHS Dorset Integrated Care Board,1310.31,57.96,31.05,21.74,238.05,123.16,117.99,149.04,111.78,84.87,55.89,46.58,67.27,56.92,37.26,37.26,37.26,16.56,19.66
E01015289,"Bournemouth, Christchurch and Poole 041B",NHS Dorset Integrated Care Board,2072.07,108.68,86.94,64.17,42.43,188.37,210.1,226.66,219.42,163.53,109.71,108.68,116.95,87.98,79.69,83.84,67.27,46.58,61.06
