lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014014,Herefordshire 018C,6,7,7,5,9,7,6,6,9,10,10,8,10,8,9,11,12,11,5,6,8,3,7,12,8,6,12,5,7,12,10,8,6,8,6,3,8,6,7,8,6,5,14,12,10,8,17,14,13,19,19,12,11,25,16,18,26,15,21,25,25,8,20,17,11,17,17,18,17,15,14,13,14,14,15,7,15,8,7,9,4,4,7,10,4,2,5,2,2,2
E01014031,Herefordshire 023A,3,3,9,8,2,7,8,5,10,5,10,9,6,10,9,16,8,9,14,2,7,4,5,5,6,5,6,7,2,3,3,1,8,7,5,9,5,8,10,8,6,8,7,8,8,5,16,8,7,16,10,11,17,18,9,18,25,13,13,9,13,15,15,12,14,7,13,16,18,11,15,7,13,10,17,11,3,9,15,8,8,9,1,6,7,7,5,3,2,2
E01014032,Herefordshire 023B,4,3,6,8,4,5,5,6,9,5,2,7,12,4,6,6,7,4,7,1,5,5,5,5,5,4,3,5,2,7,5,2,10,7,8,7,1,9,8,4,7,9,4,9,12,6,6,6,9,8,14,10,14,8,12,17,17,18,23,13,21,12,12,18,15,15,8,11,15,8,7,20,15,7,11,10,15,7,13,3,8,9,9,2,8,7,6,2,3,3
E01014036,Herefordshire 019B,3,3,7,6,8,7,6,3,8,4,10,5,5,5,5,7,5,7,8,3,4,6,3,4,7,7,6,3,7,9,9,10,14,6,3,10,5,8,2,10,10,7,7,7,8,8,5,10,8,9,14,10,14,8,15,19,9,15,16,23,11,10,11,11,12,10,14,15,17,11,13,17,8,14,21,7,17,15,20,12,12,13,8,12,8,9,12,5,11,5
E01014053,Herefordshire 023E,5,4,8,4,6,7,15,12,9,10,8,13,10,6,2,6,11,7,4,4,5,5,10,6,7,6,8,8,10,6,7,9,8,4,9,8,7,8,11,4,12,9,11,7,10,8,12,7,14,16,6,16,15,14,17,13,24,18,19,16,22,24,12,11,16,18,14,14,16,14,20,9,14,17,15,13,11,15,13,9,10,5,0,4,10,3,3,2,3,2
E01014054,Herefordshire 018D,9,1,5,1,5,5,4,6,0,7,3,5,3,4,6,3,5,1,6,2,2,2,5,6,5,6,7,3,3,5,3,6,6,5,3,9,4,6,6,10,3,1,3,7,7,5,7,10,5,12,10,15,13,11,10,13,6,15,9,15,16,8,11,14,14,24,13,9,9,11,11,9,14,10,11,11,12,8,6,8,8,3,4,2,2,4,3,4,0,3
E01014057,Herefordshire 023F,14,4,12,8,10,6,8,11,14,7,4,11,8,15,6,8,14,9,5,4,0,4,6,11,11,9,16,7,6,9,10,17,13,13,8,8,7,11,17,7,6,5,10,8,6,12,6,13,11,10,19,20,12,15,13,22,23,25,25,10,18,8,13,17,17,20,10,17,17,11,22,11,19,17,13,13,7,10,9,12,10,14,9,5,6,4,6,2,2,1
E01014058,Herefordshire 023G,2,4,3,3,2,3,4,6,4,7,9,4,5,4,6,8,4,10,6,8,6,9,3,6,5,8,6,6,1,3,3,2,6,5,2,5,5,5,6,3,4,13,8,4,6,8,8,16,9,14,14,13,11,16,20,26,17,19,13,15,17,14,12,15,14,22,7,16,27,12,9,15,8,19,18,14,19,13,13,10,6,7,11,13,8,3,5,5,3,2
E01014370,Bath and North East Somerset 007A,1,4,3,0,4,2,1,1,2,3,1,1,2,3,0,4,3,3,3,24,34,48,36,24,27,23,12,15,22,11,20,15,9,10,6,12,8,7,6,4,2,5,8,5,5,4,9,5,11,6,6,12,5,9,6,10,9,7,2,9,8,11,3,6,14,5,6,8,6,9,8,7,6,15,15,8,10,10,11,10,8,8,10,8,13,10,11,6,10,9
E01014371,Bath and North East Somerset 007B,8,5,1,2,2,0,3,4,3,3,7,5,6,5,1,6,5,7,7,20,33,44,46,49,25,22,40,26,15,19,22,15,13,16,12,13,6,10,13,9,3,10,11,12,12,9,7,12,7,14,9,11,10,11,8,10,9,10,16,9,10,6,8,11,7,8,10,12,3,13,5,6,10,11,4,5,3,8,4,5,4,13,8,8,5,8,8,2,4,3
E01014372,Bath and North East Somerset 007C,5,9,2,3,0,3,5,3,5,1,4,6,5,5,2,2,5,6,8,22,31,44,47,40,36,25,29,21,31,24,15,18,14,17,15,15,10,7,15,11,8,3,9,4,13,13,8,7,16,8,12,15,13,14,10,9,13,12,8,7,9,13,5,4,5,10,11,13,9,8,13,4,9,6,9,5,9,2,2,8,5,0,5,2,2,6,2,3,2,1
E01014373,Bath and North East Somerset 010A,7,10,11,10,11,14,12,9,13,7,6,4,13,13,10,9,7,13,7,4,7,3,10,10,7,4,11,10,7,13,9,11,13,9,13,14,5,12,9,9,15,7,16,13,11,13,14,7,12,27,19,5,9,11,18,12,16,20,9,10,14,9,6,8,10,8,7,6,7,9,6,8,6,8,5,6,5,4,2,8,3,8,3,4,3,3,4,0,3,2
E01014374,Bath and North East Somerset 010B,7,8,7,11,8,6,9,11,9,16,11,11,8,8,16,12,8,14,10,7,4,4,8,4,6,3,2,3,8,8,3,4,5,5,9,11,13,10,10,8,9,12,8,13,10,10,10,12,13,13,18,14,6,13,16,12,13,10,10,6,10,6,4,13,11,11,11,8,9,15,6,6,8,10,9,4,8,7,5,8,5,6,8,8,8,6,5,5,4,3
E01014375,Bath and North East Somerset 010C,5,2,5,5,6,10,4,8,4,12,11,8,7,6,9,7,7,7,8,3,2,8,6,7,2,2,3,2,4,4,4,5,7,4,4,6,7,5,5,10,8,9,10,5,5,2,10,7,15,8,8,6,8,11,16,16,11,16,8,21,14,6,15,11,7,17,9,6,8,9,6,6,8,10,12,9,10,11,5,7,5,4,9,8,3,3,1,2,0,2
E01014376,Bath and North East Somerset 010D,6,6,3,4,6,8,9,10,12,12,5,9,13,16,8,11,5,4,10,2,4,5,3,6,8,5,6,6,7,6,9,9,5,5,4,7,5,4,6,10,11,9,5,10,10,13,10,13,9,10,9,14,19,9,18,10,16,7,12,9,17,9,12,13,16,15,9,10,18,10,6,14,17,10,11,4,18,14,9,7,7,13,11,6,12,11,1,4,2,2
E01014377,Bath and North East Somerset 010E,3,7,2,5,4,3,6,11,13,13,9,6,12,9,12,12,9,8,1,6,1,3,6,8,6,6,3,1,3,7,6,1,2,14,7,7,9,7,3,5,11,13,10,11,8,12,9,10,9,20,14,9,8,10,11,7,15,7,8,6,12,12,10,12,12,12,5,13,6,11,7,9,12,8,13,7,7,7,10,8,11,10,7,9,7,9,5,8,5,7
E01014380,Bath and North East Somerset 012A,5,4,5,6,5,6,8,3,5,11,10,13,7,12,8,8,8,5,464,643,138,31,16,20,8,10,6,6,5,3,9,4,4,7,7,3,7,9,11,4,18,11,5,9,6,6,10,8,10,7,17,16,10,7,11,16,14,11,4,9,10,9,12,9,9,14,8,11,16,9,12,15,13,11,6,8,10,16,5,6,11,7,2,14,9,8,6,6,3,4
E01014381,Bath and North East Somerset 012B,7,4,3,3,6,6,12,4,6,6,6,6,0,8,8,16,4,7,4,5,6,12,17,10,11,7,15,7,2,8,7,5,5,11,6,2,6,9,6,7,8,9,10,6,5,11,8,11,5,11,10,7,5,8,10,11,16,5,15,9,15,13,13,8,9,6,7,14,9,8,8,4,11,10,8,9,10,6,10,8,8,10,8,10,5,5,9,6,6,5
E01014382,Bath and North East Somerset 021A,9,21,14,8,18,9,16,15,17,24,15,15,17,21,17,15,13,16,8,8,13,6,13,7,9,5,11,9,7,5,9,7,9,7,10,10,10,19,19,8,11,19,18,13,13,20,14,24,23,20,20,15,23,21,12,23,21,25,14,23,17,17,17,22,18,16,17,13,5,19,17,15,20,25,15,15,17,17,12,15,7,8,14,7,16,11,11,2,4,3
E01014383,Bath and North East Somerset 021B,4,5,6,3,10,9,8,6,9,6,10,5,8,6,11,6,3,6,6,7,6,6,5,4,3,1,6,1,5,6,2,6,6,3,3,6,11,9,9,12,11,7,6,12,4,2,16,3,11,16,11,12,7,9,7,8,5,8,6,6,9,6,7,9,11,9,8,5,11,5,9,8,7,4,13,4,6,12,4,6,6,3,0,3,6,5,2,0,1,5
