lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014014,Herefordshire 018C,9,10,13,13,16,13,8,12,20,16,19,17,21,22,26,18,27,23,10,20,19,8,15,20,16,14,20,16,15,17,15,19,16,20,15,7,9,12,10,19,13,11,21,23,19,12,25,23,26,29,33,30,22,46,37,29,47,34,41,38,46,24,31,34,21,31,34,32,33,27,31,33,30,29,30,18,25,17,16,16,13,13,12,17,7,5,6,2,8,6
E01014031,Herefordshire 023A,7,8,12,11,8,11,12,14,15,13,19,18,12,21,15,25,16,16,22,3,14,17,13,16,15,11,11,15,6,9,6,6,13,15,8,11,6,13,17,16,13,17,17,11,15,14,26,16,15,31,29,26,28,36,26,35,44,28,33,25,21,29,26,25,24,18,22,31,37,24,25,17,24,21,28,15,16,20,22,18,20,14,8,12,13,10,10,10,6,4
E01014032,Herefordshire 023B,10,5,11,13,10,8,10,19,12,12,14,13,19,14,14,11,12,10,14,2,8,12,14,11,15,13,4,9,7,9,11,5,14,14,12,13,8,17,14,13,15,14,15,14,23,9,13,15,21,20,26,21,24,13,23,29,30,26,36,28,31,26,35,29,25,33,20,33,25,26,18,32,36,20,25,24,26,17,15,10,14,16,16,4,14,10,11,5,3,6
E01014036,Herefordshire 019B,13,7,17,10,13,11,11,10,11,21,14,10,9,17,11,16,13,14,20,7,11,10,12,9,11,17,15,7,17,15,17,17,22,12,11,19,18,16,5,18,16,11,11,22,18,15,11,22,17,19,25,28,24,18,23,35,22,28,28,36,26,26,23,24,24,19,23,19,29,21,28,29,15,26,41,20,26,29,29,20,20,19,12,17,11,16,21,8,28,6
E01014053,Herefordshire 023E,11,11,13,10,14,11,23,22,16,18,20,21,16,12,11,13,20,15,12,13,6,13,16,14,14,13,17,12,19,15,8,14,14,15,18,14,13,15,20,12,23,18,13,11,23,18,24,16,22,28,18,25,23,28,29,30,36,33,34,29,34,45,25,28,38,32,27,30,31,32,30,23,26,35,30,28,25,26,19,22,13,14,4,9,12,5,5,6,6,6
E01014054,Herefordshire 018D,11,5,12,7,9,13,7,13,6,9,11,12,8,9,13,8,18,8,13,12,8,9,11,9,10,12,16,10,14,9,6,9,13,11,6,13,8,12,15,13,8,8,7,14,10,11,18,18,10,24,23,31,23,17,21,21,19,24,17,29,31,22,24,25,28,34,24,14,22,21,18,23,24,23,26,15,20,18,13,16,15,8,9,10,7,9,7,9,1,6
E01014057,Herefordshire 023F,21,12,25,17,20,20,23,15,23,8,14,22,16,21,16,13,25,16,14,10,5,8,15,19,21,20,23,12,15,15,19,26,26,20,16,14,21,17,24,19,13,11,16,15,16,19,14,20,24,20,29,36,30,28,26,38,35,37,50,25,37,22,29,28,36,28,22,34,33,27,33,31,32,34,26,23,20,29,17,21,20,28,13,9,15,8,11,5,3,3
E01014058,Herefordshire 023G,5,8,3,7,9,12,6,12,11,17,18,12,10,11,11,11,11,18,9,14,11,14,8,18,10,11,9,7,7,9,8,11,12,11,8,9,10,10,7,7,10,23,12,15,13,12,14,33,21,21,25,23,26,30,35,45,33,31,23,35,38,30,33,35,30,38,22,34,42,30,25,30,22,35,34,23,34,22,24,23,14,11,19,15,12,9,12,14,6,4
E01014370,Bath and North East Somerset 007A,5,6,8,0,8,8,3,3,2,5,2,3,6,8,1,11,4,7,9,40,76,115,84,58,58,45,39,50,45,35,36,25,29,31,24,24,21,14,14,17,8,9,14,11,7,10,17,17,25,15,13,26,21,21,13,19,17,19,14,11,21,18,10,13,21,14,15,13,14,19,13,13,13,29,26,12,26,16,16,12,11,10,14,15,24,16,14,7,16,10
E01014371,Bath and North East Somerset 007B,11,10,3,5,8,2,6,7,4,5,11,7,12,14,5,13,12,9,17,41,69,84,79,87,54,46,65,60,46,34,49,38,29,39,28,34,15,19,24,25,15,22,19,19,16,13,18,25,17,22,26,17,23,14,21,28,25,16,26,16,21,13,24,21,20,14,16,21,13,21,15,15,24,19,11,6,12,14,5,8,7,14,11,12,9,14,13,4,7,5
