lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014014,Herefordshire 018C,9.19,10.21,13.27,13.27,16.34,13.27,8.17,12.25,20.42,16.34,19.4,17.36,21.44,22.47,26.55,18.38,27.57,23.49,10.21,20.42,19.4,8.17,15.32,20.42,16.34,14.3,20.42,16.34,15.32,17.36,15.32,19.4,16.34,20.42,15.32,7.15,9.19,12.25,10.21,19.4,13.27,11.23,21.44,23.49,19.4,12.25,25.53,23.49,26.55,29.61,33.7,30.63,22.47,46.97,37.78,29.61,47.99,34.72,41.87,38.8,46.97,24.51,31.66,34.72,21.44,31.66,34.72,32.68,33.7,27.57,31.66,33.7,30.63,29.61,30.63,18.38,25.53,17.36,16.34,16.34,13.27,13.27,12.25,17.36,7.15,5.11,6.13,2.04,8.17,6.13
E01014031,Herefordshire 023A,7.15,8.17,12.25,11.23,8.17,11.23,12.25,14.3,15.32,13.27,19.4,18.38,12.25,21.44,15.32,25.53,16.34,16.34,22.47,3.06,14.3,17.36,13.27,16.34,15.32,11.23,11.23,15.32,6.13,9.19,6.13,6.13,13.27,15.32,8.17,11.23,6.13,13.27,17.36,16.34,13.27,17.36,17.36,11.23,15.32,14.3,26.55,16.34,15.32,31.66,29.61,26.55,28.59,36.76,26.55,35.74,44.93,28.59,33.7,25.53,21.44,29.61,26.55,25.53,24.51,18.38,22.47,31.66,37.78,24.51,25.53,17.36,24.51,21.44,28.59,15.32,16.34,20.42,22.47,18.38,20.42,14.3,8.17,12.25,13.27,10.21,10.21,10.21,6.13,4.08
E01014032,Herefordshire 023B,10.21,5.11,11.23,13.27,10.21,8.17,10.21,19.4,12.25,12.25,14.3,13.27,19.4,14.3,14.3,11.23,12.25,10.21,14.3,2.04,8.17,12.25,14.3,11.23,15.32,13.27,4.08,9.19,7.15,9.19,11.23,5.11,14.3,14.3,12.25,13.27,8.17,17.36,14.3,13.27,15.32,14.3,15.32,14.3,23.49,9.19,13.27,15.32,21.44,20.42,26.55,21.44,24.51,13.27,23.49,29.61,30.63,26.55,36.76,28.59,31.66,26.55,35.74,29.61,25.53,33.7,20.42,33.7,25.53,26.55,18.38,32.68,36.76,20.42,25.53,24.51,26.55,17.36,15.32,10.21,14.3,16.34,16.34,4.08,14.3,10.21,11.23,5.11,3.06,6.13
E01014036,Herefordshire 019B,13.27,7.15,17.36,10.21,13.27,11.23,11.23,10.21,11.23,21.44,14.3,10.21,9.19,17.36,11.23,16.34,13.27,14.3,20.42,7.15,11.23,10.21,12.25,9.19,11.23,17.36,15.32,7.15,17.36,15.32,17.36,17.36,22.47,12.25,11.23,19.4,18.38,16.34,5.11,18.38,16.34,11.23,11.23,22.47,18.38,15.32,11.23,22.47,17.36,19.4,25.53,28.59,24.51,18.38,23.49,35.74,22.47,28.59,28.59,36.76,26.55,26.55,23.49,24.51,24.51,19.4,23.49,19.4,29.61,21.44,28.59,29.61,15.32,26.55,41.87,20.42,26.55,29.61,29.61,20.42,20.42,19.4,12.25,17.36,11.23,16.34,21.44,8.17,28.59,6.13
E01014053,Herefordshire 023E,11.23,11.23,13.27,10.21,14.3,11.23,23.49,22.47,16.34,18.38,20.42,21.44,16.34,12.25,11.23,13.27,20.42,15.32,12.25,13.27,6.13,13.27,16.34,14.3,14.3,13.27,17.36,12.25,19.4,15.32,8.17,14.3,14.3,15.32,18.38,14.3,13.27,15.32,20.42,12.25,23.49,18.38,13.27,11.23,23.49,18.38,24.51,16.34,22.47,28.59,18.38,25.53,23.49,28.59,29.61,30.63,36.76,33.7,34.72,29.61,34.72,45.95,25.53,28.59,38.8,32.68,27.57,30.63,31.66,32.68,30.63,23.49,26.55,35.74,30.63,28.59,25.53,26.55,19.4,22.47,13.27,14.3,4.08,9.19,12.25,5.11,5.11,6.13,6.13,6.13
E01014054,Herefordshire 018D,11.23,5.11,12.25,7.15,9.19,13.27,7.15,13.27,6.13,9.19,11.23,12.25,8.17,9.19,13.27,8.17,18.38,8.17,13.27,12.25,8.17,9.19,11.23,9.19,10.21,12.25,16.34,10.21,14.3,9.19,6.13,9.19,13.27,11.23,6.13,13.27,8.17,12.25,15.32,13.27,8.17,8.17,7.15,14.3,10.21,11.23,18.38,18.38,10.21,24.51,23.49,31.66,23.49,17.36,21.44,21.44,19.4,24.51,17.36,29.61,31.66,22.47,24.51,25.53,28.59,34.72,24.51,14.3,22.47,21.44,18.38,23.49,24.51,23.49,26.55,15.32,20.42,18.38,13.27,16.34,15.32,8.17,9.19,10.21,7.15,9.19,7.15,9.19,1.02,6.13
E01014057,Herefordshire 023F,21.44,12.25,25.53,17.36,20.42,20.42,23.49,15.32,23.49,8.17,14.3,22.47,16.34,21.44,16.34,13.27,25.53,16.34,14.3,10.21,5.11,8.17,15.32,19.4,21.44,20.42,23.49,12.25,15.32,15.32,19.4,26.55,26.55,20.42,16.34,14.3,21.44,17.36,24.51,19.4,13.27,11.23,16.34,15.32,16.34,19.4,14.3,20.42,24.51,20.42,29.61,36.76,30.63,28.59,26.55,38.8,35.74,37.78,51.06,25.53,37.78,22.47,29.61,28.59,36.76,28.59,22.47,34.72,33.7,27.57,33.7,31.66,32.68,34.72,26.55,23.49,20.42,29.61,17.36,21.44,20.42,28.59,13.27,9.19,15.32,8.17,11.23,5.11,3.06,3.06
E01014058,Herefordshire 023G,5.11,8.17,3.06,7.15,9.19,12.25,6.13,12.25,11.23,17.36,18.38,12.25,10.21,11.23,11.23,11.23,11.23,18.38,9.19,14.3,11.23,14.3,8.17,18.38,10.21,11.23,9.19,7.15,7.15,9.19,8.17,11.23,12.25,11.23,8.17,9.19,10.21,10.21,7.15,7.15,10.21,23.49,12.25,15.32,13.27,12.25,14.3,33.7,21.44,21.44,25.53,23.49,26.55,30.63,35.74,45.95,33.7,31.66,23.49,35.74,38.8,30.63,33.7,35.74,30.63,38.8,22.47,34.72,42.89,30.63,25.53,30.63,22.47,35.74,34.72,23.49,34.72,22.47,24.51,23.49,14.3,11.23,19.4,15.32,12.25,9.19,12.25,14.3,6.13,4.08
E01014370,Bath and North East Somerset 007A,5.11,6.13,8.17,0.0,8.17,8.17,3.06,3.06,2.04,5.11,2.04,3.06,6.13,8.17,1.02,11.23,4.08,7.15,9.19,40.85,77.61,117.43,85.78,59.23,59.23,45.95,39.82,51.06,45.95,35.74,36.76,25.53,29.61,31.66,24.51,24.51,21.44,14.3,14.3,17.36,8.17,9.19,14.3,11.23,7.15,10.21,17.36,17.36,25.53,15.32,13.27,26.55,21.44,21.44,13.27,19.4,17.36,19.4,14.3,11.23,21.44,18.38,10.21,13.27,21.44,14.3,15.32,13.27,14.3,19.4,13.27,13.27,13.27,29.61,26.55,12.25,26.55,16.34,16.34,12.25,11.23,10.21,14.3,15.32,24.51,16.34,14.3,7.15,16.34,10.21
E01014371,Bath and North East Somerset 007B,11.23,10.21,3.06,5.11,8.17,2.04,6.13,7.15,4.08,5.11,11.23,7.15,12.25,14.3,5.11,13.27,12.25,9.19,17.36,41.87,70.46,85.78,80.67,88.84,55.14,46.97,66.37,61.27,46.97,34.72,50.04,38.8,29.61,39.82,28.59,34.72,15.32,19.4,24.51,25.53,15.32,22.47,19.4,19.4,16.34,13.27,18.38,25.53,17.36,22.47,26.55,17.36,23.49,14.3,21.44,28.59,25.53,16.34,26.55,16.34,21.44,13.27,24.51,21.44,20.42,14.3,16.34,21.44,13.27,21.44,15.32,15.32,24.51,19.4,11.23,6.13,12.25,14.3,5.11,8.17,7.15,14.3,11.23,12.25,9.19,14.3,13.27,4.08,7.15,5.11
E01014372,Bath and North East Somerset 007C,9.19,16.34,4.08,7.15,3.06,3.06,6.13,4.08,6.13,2.04,8.17,8.17,13.27,7.15,7.15,8.17,11.23,16.34,13.27,39.82,60.25,72.5,84.76,79.65,60.25,60.25,53.1,54.12,55.14,49.02,37.78,42.89,30.63,37.78,30.63,32.68,28.59,17.36,25.53,23.49,17.36,17.36,18.38,16.34,27.57,25.53,22.47,12.25,26.55,20.42,15.32,22.47,23.49,29.61,17.36,22.47,35.74,25.53,23.49,19.4,16.34,26.55,9.19,12.25,10.21,17.36,16.34,19.4,20.42,15.32,20.42,11.23,16.34,13.27,14.3,14.3,17.36,6.13,7.15,9.19,8.17,2.04,8.17,2.04,5.11,6.13,3.06,3.06,4.08,1.02
E01014373,Bath and North East Somerset 010A,13.27,15.32,13.27,19.4,25.53,27.57,24.51,25.53,30.63,21.44,18.38,14.3,23.49,29.61,20.42,20.42,23.49,24.51,22.47,11.23,12.25,11.23,20.42,16.34,14.3,12.25,15.32,26.55,15.32,28.59,13.27,21.44,23.49,22.47,19.4,21.44,17.36,19.4,19.4,17.36,26.55,24.51,31.66,27.57,22.47,23.49,30.63,17.36,25.53,42.89,33.7,14.3,18.38,19.4,27.57,20.42,30.63,31.66,22.47,22.47,21.44,13.27,12.25,20.42,24.51,14.3,12.25,13.27,15.32,18.38,8.17,10.21,12.25,14.3,11.23,11.23,12.25,9.19,6.13,12.25,5.11,10.21,5.11,6.13,4.08,5.11,5.11,0.0,3.06,4.08
