LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01034790,Cotswold 011H,,Cotswold,Rural,NHS Gloucestershire Integrated Care Board
E01022385,Stroud 013A,26029.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022386,Stroud 013B,29999.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022388,Stroud 013D,19416.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022387,Stroud 013C,25051.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022382,Stroud 010B,31042.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022381,Stroud 015A,29208.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022416,Stroud 015C,21140.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022417,Stroud 015D,32184.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022418,Stroud 015E,29592.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022415,Stroud 015B,31075.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022373,Stroud 014B,21514.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022374,Stroud 014C,19556.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022372,Stroud 014A,26879.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022375,Stroud 014D,9368.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022360,Stroud 011B,30983.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022370,Stroud 009A,29997.0,Stroud,Rural,NHS Gloucestershire Integrated Care Board
E01022350,Stroud 010A,31500.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022405,Stroud 009C,19820.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022407,Stroud 009E,21970.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022406,Stroud 009D,31466.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022404,Stroud 005E,26382.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022355,Stroud 004A,23747.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
E01022400,Stroud 005A,18648.0,Stroud,Urban,NHS Gloucestershire Integrated Care Board
