LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01022983,New Forest 022C,25238.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board
E01022994,New Forest 016A,31052.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023063,New Forest 016E,14949.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023071,New Forest 012E,20704.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board
E01023070,New Forest 012D,16788.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board
E01023055,New Forest 020D,4926.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board
E01022996,New Forest 016C,13619.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023025,New Forest 001G,18801.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023066,New Forest 010D,24495.0,New Forest,Urban,NHS Hampshire and Isle of Wight Integrated Care Board
E01023026,New Forest 010A,14118.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023012,New Forest 001B,21443.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01022993,New Forest 007B,9684.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023195,Test Valley 007B,24711.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023159,Test Valley 007A,20082.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023198,Test Valley 007D,21510.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023022,New Forest 001D,17425.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023021,New Forest 001C,29818.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023011,New Forest 001A,14020.0,New Forest,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023196,Test Valley 005E,19664.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023164,Test Valley 013C,21882.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023162,Test Valley 013A,17643.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023177,Test Valley 009C,20031.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023167,Test Valley 009B,22641.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023165,Test Valley 001A,20948.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
E01023197,Test Valley 007C,26720.0,Test Valley,Rural,NHS Hampshire and Isle of Wight Integrated Care Board
