LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01032350,Wychavon 013D,19706.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014032,Herefordshire 023B,16442.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014057,Herefordshire 023F,13591.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014053,Herefordshire 023E,17137.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014036,Herefordshire 019B,23031.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032412,Wychavon 019E,19976.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032348,Wychavon 019B,31283.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032353,Wychavon 018C,17214.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032351,Wychavon 018A,26437.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032341,Wychavon 013B,28111.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032390,Wychavon 011A,19778.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032374,Wychavon 018D,17220.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032352,Wychavon 018B,20544.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032198,Malvern Hills 011A,14350.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032211,Malvern Hills 008C,18069.0,Malvern Hills,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032413,Wychavon 019F,28887.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032347,Wychavon 019A,29301.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01032372,Wychavon 019C,16805.0,Wychavon,Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014058,Herefordshire 023G,18583.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014054,Herefordshire 018D,16811.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014014,Herefordshire 018C,13636.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
E01014031,Herefordshire 023A,13631.0,"Herefordshire, County of",Rural,NHS Herefordshire and Worcestershire Integrated Care Board
