LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01029174,South Somerset 023C,12766.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029175,South Somerset 023D,8248.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029177,South Somerset 022E,5092.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029171,South Somerset 023B,10538.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01035132,Somerset West and Taunton 017F,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029261,Somerset West and Taunton 019A,16366.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029270,Somerset West and Taunton 019B,17682.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029308,Somerset West and Taunton 016E,30876.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029295,Somerset West and Taunton 019C,29757.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029263,Somerset West and Taunton 016A,28606.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029303,Somerset West and Taunton 015E,31033.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029296,Somerset West and Taunton 019D,27127.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029266,Somerset West and Taunton 015A,19993.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029275,Somerset West and Taunton 009D,17839.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029283,Somerset West and Taunton 014C,13807.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029315,Somerset West and Taunton 017D,29355.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029269,Somerset West and Taunton 017B,18481.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029316,Somerset West and Taunton 018D,18967.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029310,Somerset West and Taunton 017C,27240.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01035130,Somerset West and Taunton 018F,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01035131,Somerset West and Taunton 017E,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029312,Somerset West and Taunton 018B,22691.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01035129,Somerset West and Taunton 018E,,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029311,Somerset West and Taunton 018A,5715.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029172,South Somerset 022B,29797.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029153,South Somerset 024A,16379.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029209,South Somerset 019E,24908.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029271,Somerset West and Taunton 009A,17700.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029274,Somerset West and Taunton 009C,23567.0,Somerset West and Taunton,Rural,NHS Somerset Integrated Care Board
E01029144,Sedgemoor 014E,15026.0,Sedgemoor,Rural,NHS Somerset Integrated Care Board
E01035120,Sedgemoor 014K,,Sedgemoor,Urban,NHS Somerset Integrated Care Board
E01029143,Sedgemoor 014D,14024.0,Sedgemoor,Urban,NHS Somerset Integrated Care Board
E01029142,Sedgemoor 014C,23721.0,Sedgemoor,Urban,NHS Somerset Integrated Care Board
E01035119,Sedgemoor 014J,,Sedgemoor,Urban,NHS Somerset Integrated Care Board
E01029264,Somerset West and Taunton 016B,28575.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029265,Somerset West and Taunton 016C,30225.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029301,Somerset West and Taunton 015D,15552.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029256,Somerset West and Taunton 012A,23320.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029281,Somerset West and Taunton 014B,11503.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029282,Somerset West and Taunton 008A,24656.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029280,Somerset West and Taunton 014A,7735.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029302,Somerset West and Taunton 016D,30879.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029286,Somerset West and Taunton 015C,10302.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029284,Somerset West and Taunton 015B,5754.0,Somerset West and Taunton,Urban,NHS Somerset Integrated Care Board
E01029154,South Somerset 008A,13875.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029156,South Somerset 008B,16546.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029180,South Somerset 020C,15500.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029179,South Somerset 020B,10056.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029178,South Somerset 020A,16911.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029244,South Somerset 018D,32046.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029243,South Somerset 018C,20716.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029242,South Somerset 018B,26052.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01035126,South Somerset 015F,,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029241,South Somerset 016A,12366.0,South Somerset,Urban,NHS Somerset Integrated Care Board
E01029206,South Somerset 008C,23007.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029207,South Somerset 008D,28688.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029155,South Somerset 005A,21832.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029227,South Somerset 005B,20163.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029165,South Somerset 006B,14702.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029164,South Somerset 006A,20176.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029166,South Somerset 002A,20139.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029167,South Somerset 002B,16108.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029168,South Somerset 002C,30541.0,South Somerset,Rural,NHS Somerset Integrated Care Board
E01029038,Mendip 007D,11757.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01035111,Mendip 007H,,Mendip,Urban,NHS Somerset Integrated Care Board
E01029036,Mendip 004A,10564.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01035110,Mendip 007G,,Mendip,Urban,NHS Somerset Integrated Care Board
E01029031,Mendip 003B,26493.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029029,Mendip 007A,10132.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029045,Mendip 004E,16882.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029034,Mendip 003E,24880.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029030,Mendip 003A,30228.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029033,Mendip 003D,24940.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029032,Mendip 003C,25374.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029023,Mendip 001B,20149.0,Mendip,Rural,NHS Somerset Integrated Care Board
E01029022,Mendip 001A,27701.0,Mendip,Rural,NHS Somerset Integrated Care Board
E01029043,Mendip 004D,16470.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029042,Mendip 004C,4252.0,Mendip,Urban,NHS Somerset Integrated Care Board
E01029044,Mendip 001C,12100.0,Mendip,Urban,NHS Somerset Integrated Care Board
